date,settle,opens,coversFilled,coversNaked,open,v0_floor,v0_terminal,v3_floor,v3_terminal,v1_floor,v1_terminal,v2_floor,v2_terminal
1/26/2026,25713,4,3,0,1,810,85.91,810,85.91,1425,375,820,-230
1/27/2026,25941,15,7,6,8,255,2204.36,255,2204.36,90,1065,0,45.32
1/28/2026,26019,18,11,5,7,255,680,255,680,365,965.79,235,-144.21
1/29/2026,25878,20,15,3,5,3980,2873.78,3980,2873.78,3665,3503.78,2375,3123.78
1/30/2026,25550,20,13,5,7,1430,1235.06,1430,1235.06,1430,3330.06,1140,4040.06
2/2/2026,25738,14,7,3,7,1710,-735.43,1710,-735.43,1775,354.57,1135,1739.57
2/3/2026,25341,18,11,4,7,1655,-379.78,1655,-379.78,1665,-369.78,1655,-379.78
2/4/2026,24891,15,13,1,2,2145,1002.93,2145,1002.93,2145,1002.93,1470,1377.93
2/5/2026,24552,16,8,6,8,990,-6770,990,-6770,990,-6770,710,-6060
2/6/2026,25069,18,11,4,7,545,-592.78,545,-592.78,565,-572.78,405,267.22
2/9/2026,25263,17,11,4,6,1085,2509.58,1085,2509.58,1085,1940.42,1085,3220
2/10/2026,25124,16,9,4,7,1645,-607.9,1645,-607.9,1125,-112.9,585,1427.1
2/11/2026,25195,13,9,3,4,1310,278.4,1310,278.4,1485,-35.8,1265,794.2
2/12/2026,24693,17,11,2,6,2170,3015.82,2170,3015.82,2115,2960.82,2120,2965.82
2/13/2026,24732,17,13,3,4,5240,3677.4,5240,3677.4,5525,2962.4,5225,3657.4
2/17/2026,24710,16,10,3,6,1975,4265.26,1975,4265.26,2025,4315.26,1260,3515.13
2/18/2026,24894,20,17,1,3,6355,7651.65,6355,7651.65,6355,7651.65,5820,7116.65
2/19/2026,24797,12,6,4,6,1445,1166.52,1445,1166.52,160,-118.48,200,195
2/20/2026,25016,17,10,6,7,1045,-1263.49,1045,-1263.49,1140,-2755,1140,1125
2/23/2026,24716,20,13,4,7,1210,1778.04,1210,1778.04,1340,2873.04,855,5750
2/24/2026,24980,17,7,9,10,95,-1562.23,95,-1562.23,170,380,140,-815.54
2/25/2026,25333,13,9,3,4,365,1947.3,365,1947.3,390,-721.35,205,-1328.65
2/26/2026,25036,19,14,3,5,2350,1750.34,2350,1750.34,2170,1125,1890,1384.66
2/27/2026,24959,18,14,3,4,1845,2960,1845,2960,1380,1495,485,399.05
3/2/2026,24989,17,10,6,7,1220,1350,1220,1350,1305,1435,1530,-313.78
3/3/2026,24719,15,12,1,3,1465,2775,1465,2775,1470,2780,1385,2695
3/4/2026,25090,13,8,4,5,530,-1240,530,-1240,460,-2287.21,460,725
3/5/2026,25021,16,10,1,6,785,4565,785,4565,785,4565,675,4455
3/6/2026,24638,15,13,2,2,4810,4564.53,4810,4564.53,4950,3704.53,4415,2340
3/9/2026,24967,19,12,1,7,2995,7850,2995,7850,2010,6865,1640,7450
3/10/2026,24959,15,13,1,2,2680,2124.62,2680,2124.62,2680,2009.81,2020,349.81
3/11/2026,24963,14,7,5,7,65,-1985,65,-1985,50,-2000,0,-2781.4
3/12/2026,24532,18,15,2,3,1155,-855,1155,-855,1290,305,350,-840.82
3/13/2026,24380,16,11,4,5,880,4942.32,880,4942.32,970,4055.49,1220,2116.83
3/17/2026,24784,17,9,7,8,85,1821.29,85,1821.29,85,-602.42,15,-2426.29
3/18/2026,24425,18,11,4,7,2205,-30.02,2205,-30.02,2180,-55.02,1465,3379.98
3/19/2026,24355,16,12,3,4,2045,168.34,2045,168.34,1885,8.34,910,83.34
3/20/2026,23904,19,17,1,2,5960,5647.14,5960,5647.14,5940,3877.14,5940,4902.14
3/23/2026,24190,17,12,4,5,2990,-1756.6,2990,-1756.6,3095,-601.6,2205,-1491.6
3/24/2026,24008,13,6,5,7,155,-3520,155,-3520,155,-3520,20,-3380.83
3/25/2026,24164,18,15,2,3,530,3036.25,530,3036.25,945,2348.75,395,2793.75
3/26/2026,23588,18,13,3,5,4405,1706.42,4405,1706.42,3970,1271.42,4115,3506.42
3/27/2026,23133,16,11,2,5,4065,3445,4065,3445,4125,3195.2,4020,5140.2
4/6/2026,24189,16,12,3,4,465,-327.1,465,-327.1,530,-1420,225,-843.95
4/7/2026,24209,18,13,3,5,3435,2386.18,3435,2386.18,3485,2436.18,3110,2966.18
4/8/2026,24906,17,13,2,4,2780,7388.56,2780,7388.56,2740,8378.56,2100,7738.56
4/9/2026,25078,17,11,3,6,1615,2505,1615,2505,1645,1318.91,1400,1837.82
4/10/2026,25121,13,5,7,8,285,-1835.94,285,-1835.94,370,-3398.12,150,-2850
4/13/2026,25382,17,9,3,8,595,1756.9,595,1756.9,610,1771.9,90,3171.9
