,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,1127619,1732025,1998114,1075490,1685187,1962323,1015697,1511903,1936879,977541,1783311,1956128,1161380,1737204,1731480,1454295,2281709,2702835,1879699,3025419,3035724,1494139,3549320,2817645,985033,1081064,574322,2908386,4363484,3149786,1127619,1708489,2061510,1075490,1651868,2023038,1015697,1550824,1976666,868526,1312331,1601728,1200636,1961336,2351138,1454693,2492737,2905581,1876635,3141082,3803326,3165045,5567940,7331582,1766645,2892701,3544098,3102625,5464103,7224844,1362660,2050204,1344483,2032608,1332741,2039380,1295887,1969646,1333509,1524999,1890827,2546177,2452505,3152437,2552979,2859122,700452,555111,2495086,3946575
AVG terminal/day $,1474,2264,2612,1406,2203,2565,1328,1976,2532,1278,2331,2557,1518,2271,2263,1901,2983,3533,2457,3955,3968,1953,4640,3683,1288,1413,751,3802,5704,4117,1474,2233,2695,1406,2159,2644,1328,2027,2584,1135,1715,2094,1569,2564,3073,1902,3258,3798,2453,4106,4972,4137,7278,9584,2309,3781,4633,4056,7143,9444,1781,2680,1757,2657,1742,2666,1694,2575,1743,1993,2472,3328,3206,4121,3337,3737,916,726,3262,5159
MEDIAN terminal/day $,1425,2119,1695,1385,2055,1645,1300,1815,1654,1210,2239,1633,1904,1910,-201,1952,2849,2115,2300,2842,1659,1223,3090,-568,1266,1323,1067,3972,5297,0,1425,2129,2147,1385,2032,2170,1300,1955,2125,1050,1505,1740,1920,2802,3120,1945,2833,2991,2285,3040,3633,4415,7845,9420,2180,2920,3579,4381,7726,9420,1754,2072,1821,1999,1732,1946,1712,2033,1365,-47,1930,2074,2421,2373,314,-2314,1283,1025,1094,-316
RETURN / worst-10day-loss,419.2,149.2,80.9,329.3,171.2,72.7,379.1,86.9,75.3,387.6,111.3,79.9,78.6,53.1,30.8,626.5,101.1,70.4,584.8,281.4,66.2,,176.8,69.9,130.2,53.3,17.3,1020.8,342.0,78.4,419.2,86.6,70.9,329.3,91.4,68.4,379.1,82.8,56.8,509.0,77.1,38.2,96.8,46.7,26.2,626.7,173.8,45.0,583.8,244.3,48.5,1878.6,86.9,22.2,544.5,149.9,51.3,2237.2,83.1,22.2,83.6,74.4,76.5,71.9,78.5,71.5,92.0,71.5,33.4,27.7,88.5,68.9,98.4,74.3,53.0,47.2,21.5,14.6,52.2,73.3
WORST 5-day loss $ (~1wk),-6250,-14602,-20428,-5810,-13754,-23729,-5278,-16352,-22434,-6234,-10461,-18225,-12398,-29226,-36776,-15958,-23636,-35839,-17376,-25838,-40438,-2545,-21978,-30814,-10749,-17015,-26953,-13407,-15704,-30996,-6250,-15602,-27662,-5810,-14750,-25446,-5278,-13520,-23948,-4010,-14341,-27808,-14667,-37567,-83915,-15958,-29598,-53083,-18481,-29535,-55836,-13887,-61888,-204026,-18045,-29657,-57467,-13887,-63593,-191913,-13428,-30265,-14845,-30438,-14040,-30709,-15269,-30265,-30121,-38075,-23284,-34345,-26013,-41288,-31649,-39511,-24305,-32194,-31300,-37716
  worst 5-day END date,4/3/2024,12/29/2023,11/26/2024,12/29/2023,12/29/2023,4/2/2024,12/29/2023,4/2/2024,4/2/2024,11/2/2023,5/17/2023,11/26/2024,10/29/2024,9/24/2025,9/12/2023,9/10/2025,7/18/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,7/24/2025,9/11/2023,4/24/2023,10/9/2024,7/5/2024,7/20/2023,9/8/2025,12/13/2024,4/24/2023,4/3/2024,12/29/2023,1/2/2025,12/29/2023,12/29/2023,1/2/2025,12/29/2023,7/25/2023,1/2/2025,11/2/2023,12/29/2023,4/2/2024,9/10/2025,4/27/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/3/2024,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/3/2024,1/26/2024,5/13/2024,7/5/2023,5/13/2024,7/5/2023,5/13/2024,1/26/2024,5/13/2024,9/24/2025,8/12/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,3/25/2024,3/25/2024,12/6/2024,3/22/2024,3/25/2024,4/9/2024
WORST 10-day loss $ (~2wk),-2690,-11605,-24712,-3266,-9841,-26999,-2679,-17401,-25713,-2522,-16025,-24469,-14777,-32694,-56257,-2321,-22579,-38367,-3214,-10752,-45868,1460,-20073,-40328,-7565,-20271,-33272,-2849,-12758,-40176,-2690,-19724,-29064,-3266,-18074,-29582,-2679,-18737,-34786,-1706,-17015,-41922,-12399,-41975,-89839,-2321,-14342,-64539,-3214,-12857,-78402,-1685,-64076,-330901,-3244,-19299,-69106,-1387,-65781,-324948,-16297,-27560,-17580,-28258,-16985,-28529,-14082,-27560,-39887,-55117,-21376,-36966,-24928,-42415,-48199,-60601,-32620,-38046,-47837,-53809
  worst 10-day END date,1/30/2024,7/25/2023,4/2/2024,1/30/2024,7/25/2023,4/2/2024,8/26/2025,7/24/2023,10/29/2024,5/19/2023,7/24/2023,4/2/2024,12/16/2024,12/16/2024,12/16/2024,7/19/2023,1/29/2024,1/29/2024,1/16/2023,7/19/2023,7/19/2023,10/5/2023,7/7/2023,7/6/2023,7/11/2024,7/11/2024,4/19/2023,1/17/2024,9/14/2023,9/26/2024,1/30/2024,7/24/2023,9/12/2023,1/30/2024,7/24/2023,4/8/2024,8/26/2025,7/24/2023,4/9/2024,1/30/2024,7/25/2023,4/9/2024,7/11/2024,7/11/2024,7/11/2024,7/19/2023,7/19/2023,4/4/2024,1/16/2023,7/19/2023,4/4/2024,9/19/2023,4/5/2024,4/10/2024,7/19/2023,4/3/2024,4/4/2024,1/29/2024,4/5/2024,4/10/2024,7/6/2023,5/16/2024,7/6/2023,5/16/2024,7/6/2023,5/16/2024,7/6/2023,5/16/2024,12/16/2024,12/16/2024,7/23/2025,4/1/2024,7/23/2025,7/23/2025,4/10/2024,2/7/2024,12/11/2024,10/30/2025,4/10/2024,5/17/2023
MAX LOSING STREAK (days),6,4,7,5,6,7,6,6,7,4,5,6,4,6,7,5,5,7,5,6,5,4,8,7,5,5,6,5,5,7,6,4,7,5,6,7,6,6,7,4,5,7,5,6,8,5,5,5,5,6,7,4,5,10,5,5,6,4,5,10,7,6,7,6,8,7,7,6,6,8,7,7,6,7,11,12,7,9,10,10
  losing-streak $,-4145,-11203,-24081,-3594,-12471,-28286,-4785,-8485,-26991,-2684,-10461,-16296,-13761,-25072,-44691,-15958,-23636,-16798,-7970,-16232,-38997,-1865,-26268,-37711,-10151,-12860,-27933,-9691,-15704,-37892,-4145,-10890,-25337,-3594,-12158,-29779,-4785,-13708,-28670,-3480,-7653,-36222,-8347,-38904,-66305,-15958,-29598,-40318,-7970,-14559,-63084,-16434,-60474,-330901,-18045,-29657,-56466,-15864,-60664,-324948,-19482,-26016,-20165,-26016,-20078,-26595,-19482,-26016,-24970,-39570,-15601,-20441,-28418,-23489,-52983,-64554,-26000,-43323,-47837,-52904
  losing-streak END date,8/20/2025,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,10/28/2024,12/10/2024,4/2/2024,12/15/2023,5/17/2023,10/23/2024,7/18/2023,4/28/2023,7/21/2023,9/10/2025,7/18/2023,4/5/2024,1/24/2025,10/10/2024,1/29/2024,10/3/2023,4/9/2024,4/24/2023,7/19/2023,12/12/2023,7/21/2023,9/30/2025,12/13/2024,4/24/2023,8/20/2025,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,3/31/2023,5/17/2023,1/30/2024,9/24/2025,4/28/2023,1/30/2024,9/10/2025,9/10/2025,1/29/2024,1/24/2025,10/10/2024,4/5/2024,9/11/2023,4/3/2024,4/10/2024,9/10/2025,9/10/2025,4/8/2024,9/11/2023,4/3/2024,4/10/2024,7/6/2023,7/6/2023,7/6/2023,7/6/2023,7/6/2023,7/14/2025,7/6/2023,7/6/2023,9/13/2023,9/15/2025,11/29/2023,4/20/2023,9/11/2025,11/27/2023,7/12/2023,2/9/2024,12/6/2024,10/30/2025,4/10/2024,2/7/2024
MAX WINNING STREAK (days),26,19,15,25,20,17,23,18,15,26,24,15,22,11,8,26,18,16,26,19,15,18,9,11,20,16,11,17,20,11,26,20,16,25,20,16,23,16,16,27,15,12,22,17,14,26,26,22,26,19,19,20,16,8,19,16,19,20,16,8,25,14,25,12,17,14,32,14,9,10,20,22,22,19,15,7,12,10,15,13
  winning-streak $,52620,62286,116366,51133,69161,122687,51763,55922,126109,48167,82834,137394,82644,92751,123215,87857,94146,227967,122554,176265,257124,57102,90696,201998,62150,81404,41409,106046,170524,196370,52620,77472,134445,51133,69243,125913,51763,53583,119199,44938,42876,65918,83064,102079,223157,87857,185937,300695,122554,180479,329103,126048,253628,266555,65809,122259,293571,122108,248002,252453,108459,124811,109997,110178,84406,142404,142957,138396,81090,106945,154271,253445,205804,276567,230087,158041,35338,35786,193810,254960
WORST single day $,-4455,-6994,-8312,-4455,-6994,-8532,-4455,-6990,-8923,-4455,-6939,-8135,-5995,-7000,-9000,-5320,-7000,-9000,-5915,-7000,-9000,-1000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-4455,-8671,-13855,-4455,-8671,-13855,-4455,-8130,-14359,-3630,-8355,-16855,-8916,-18715,-37315,-5320,-12020,-28085,-7390,-14685,-31085,-11120,-32815,-87160,-7725,-13580,-31085,-11120,-32815,-87685,-6270,-9000,-6270,-9000,-6270,-9000,-6772,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6990,-9000,-7000,-9000
