,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,988673,1474535,1577132,1075490,1685187,1493696,1008796,1323745,1758422,751391,1783311,1956128,1159291,1588098,1788781,1454295,2281709,2702835,1813530,1635008,2283757,1744116,3549320,1414367,897257,1017954,500627,2158303,4363484,3149786,1127619,1708489,2061510,1075490,1651868,2023038,1015697,1550824,1976666,868526,1312331,1601728,1200636,1961336,2351138,1454693,2492737,2905581,1876635,3141082,3803326,3165045,5567940,7331582,1766645,2892701,3544098,3102625,5464103,7224844,1299687,1997348,1344483,2032608,1327991,1956253,1295887,1315344,1290108,1530317,1890827,2546177,1888356,3032490,2552979,2859122,491549,497129,2495086,3946575
AVG terminal/day $,1292,1927,2062,1406,2203,1953,1319,1730,2299,982,2331,2557,1515,2076,2338,1901,2983,3533,2371,2137,2985,2280,4640,1849,1173,1331,654,2821,5704,4117,1474,2233,2695,1406,2159,2644,1328,2027,2584,1135,1715,2094,1569,2564,3073,1902,3258,3798,2453,4106,4972,4137,7278,9584,2309,3781,4633,4056,7143,9444,1699,2611,1757,2657,1736,2557,1694,1719,1686,2000,2472,3328,2468,3964,3337,3737,643,650,3262,5159
MEDIAN terminal/day $,1170,1806,1548,1385,2055,1218,1272,1463,1448,930,2239,1633,1871,1918,-346,1952,2849,2115,2280,246,400,1800,3090,-324,1119,1253,946,2316,5297,0,1425,2129,2147,1385,2032,2170,1300,1955,2125,1050,1505,1740,1920,2802,3120,1945,2833,2991,2285,3040,3633,4415,7845,9420,2180,2920,3579,4381,7726,9420,1645,1980,1821,1999,1540,1807,1712,1311,1362,-224,1930,2074,2060,2167,314,-2314,630,887,1094,-316
RETURN / worst-10day-loss,,119.7,45.6,329.3,171.2,37.0,217.7,101.7,60.8,210.5,111.3,79.9,73.2,69.5,30.7,626.5,101.1,70.4,303.4,199.0,53.9,,176.8,62.6,109.0,53.1,14.6,,342.0,78.4,419.2,86.6,70.9,329.3,91.4,68.4,379.1,82.8,56.8,509.0,77.1,38.2,96.8,46.7,26.2,626.7,173.8,45.0,583.8,244.3,48.5,1878.6,86.9,22.2,544.5,149.9,51.3,2237.2,83.1,22.2,81.2,79.9,76.5,71.9,89.0,73.0,92.0,30.9,33.9,29.3,88.5,68.9,72.8,66.7,53.0,47.2,18.8,12.8,52.2,73.3
WORST 5-day loss $ (~1wk),-2613,-8588,-25090,-5810,-13754,-31590,-5961,-10537,-21969,-2863,-10461,-18225,-13002,-23868,-36720,-15958,-23636,-35839,-16913,-8533,-38665,-874,-21978,-15121,-10225,-17015,-27312,-1554,-15704,-30996,-6250,-15602,-27662,-5810,-14750,-25446,-5278,-13520,-23948,-4010,-14341,-27808,-14667,-37567,-83915,-15958,-29598,-53083,-18481,-29535,-55836,-13887,-61888,-204026,-18045,-29657,-57467,-13887,-63593,-191913,-15116,-26751,-14845,-30438,-15290,-26189,-15269,-33193,-28679,-36968,-23284,-34345,-22645,-41023,-31649,-39511,-22049,-32194,-31300,-37716
  worst 5-day END date,11/2/2023,1/23/2024,4/2/2024,12/29/2023,12/29/2023,4/2/2024,8/20/2025,12/29/2023,4/2/2024,9/12/2025,5/17/2023,11/26/2024,10/29/2024,4/28/2023,10/10/2024,9/10/2025,7/18/2023,9/10/2025,9/10/2025,10/10/2024,8/10/2023,10/4/2023,9/11/2023,9/17/2024,7/19/2023,7/5/2024,7/20/2023,5/17/2023,12/13/2024,4/24/2023,4/3/2024,12/29/2023,1/2/2025,12/29/2023,12/29/2023,1/2/2025,12/29/2023,7/25/2023,1/2/2025,11/2/2023,12/29/2023,4/2/2024,9/10/2025,4/27/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/3/2024,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/3/2024,10/28/2024,5/13/2024,7/5/2023,5/13/2024,10/28/2024,5/13/2024,1/26/2024,4/2/2024,8/12/2025,8/12/2025,9/10/2025,9/10/2025,4/28/2023,9/10/2025,3/25/2024,3/25/2024,7/5/2024,3/22/2024,3/25/2024,4/9/2024
WORST 10-day loss $ (~2wk),888,-12315,-34562,-3266,-9841,-40323,-4634,-13016,-28901,-3569,-16025,-24469,-15829,-22847,-58355,-2321,-22579,-38367,-5978,-8215,-42389,1830,-20073,-22606,-8231,-19160,-34285,514,-12758,-40176,-2690,-19724,-29064,-3266,-18074,-29582,-2679,-18737,-34786,-1706,-17015,-41922,-12399,-41975,-89839,-2321,-14342,-64539,-3214,-12857,-78402,-1685,-64076,-330901,-3244,-19299,-69106,-1387,-65781,-324948,-16007,-24984,-17580,-28258,-14916,-26816,-14082,-42505,-38015,-52156,-21376,-36966,-25952,-45433,-48199,-60601,-26159,-38912,-47837,-53809
  worst 10-day END date,1/23/2023,7/25/2023,1/30/2024,1/30/2024,7/25/2023,4/2/2024,8/26/2025,7/25/2023,4/2/2024,10/2/2025,7/24/2023,4/2/2024,12/16/2024,4/14/2023,12/16/2024,7/19/2023,1/29/2024,1/29/2024,1/16/2023,7/24/2023,4/1/2024,7/14/2023,7/7/2023,5/22/2025,7/11/2024,7/11/2024,4/24/2024,5/17/2023,9/14/2023,9/26/2024,1/30/2024,7/24/2023,9/12/2023,1/30/2024,7/24/2023,4/8/2024,8/26/2025,7/24/2023,4/9/2024,1/30/2024,7/25/2023,4/9/2024,7/11/2024,7/11/2024,7/11/2024,7/19/2023,7/19/2023,4/4/2024,1/16/2023,7/19/2023,4/4/2024,9/19/2023,4/5/2024,4/10/2024,7/19/2023,4/3/2024,4/4/2024,1/29/2024,4/5/2024,4/10/2024,7/11/2023,7/12/2023,7/6/2023,5/16/2024,12/7/2023,4/2/2024,7/6/2023,4/2/2024,12/16/2024,12/16/2024,7/23/2025,4/1/2024,9/12/2025,4/1/2024,4/10/2024,2/7/2024,12/11/2024,3/26/2024,4/10/2024,5/17/2023
MAX LOSING STREAK (days),4,5,10,5,6,8,6,6,8,4,5,6,4,6,7,5,5,7,5,7,7,3,8,8,5,5,6,2,5,7,6,4,7,5,6,7,6,6,7,4,5,7,5,6,8,5,5,5,5,6,7,4,5,10,5,5,6,4,5,10,6,8,7,6,6,8,7,6,6,8,7,7,5,7,11,12,8,8,10,10
  losing-streak $,-1120,-7299,-34562,-3594,-12471,-31063,-3586,-2463,-28847,-2464,-10461,-16296,-13761,-21083,-45296,-15958,-23636,-16798,-6918,-10144,-34720,-2000,-26268,-16245,-10225,-9476,-11413,-537,-15704,-37892,-4145,-10890,-25337,-3594,-12158,-29779,-4785,-13708,-28670,-3480,-7653,-36222,-8347,-38904,-66305,-15958,-29598,-40318,-7970,-14559,-63084,-16434,-60474,-330901,-18045,-29657,-56466,-15864,-60664,-324948,-15837,-15391,-20165,-26016,-15903,-15203,-19482,-15096,-25827,-41627,-15601,-20441,-14045,-44278,-52983,-64554,-22925,-42190,-47837,-52904
