,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,989027,1464325,1562373,1075490,1412885,1792677,1020030,1444594,1506439,807935,1467284,1768130,989458,1537164,1432689,1233093,2040854,2341492,1813976,1373330,2371066,1744116,3065307,1495626,1363323,1160369,468880,2698716,3382791,2979988,966283,1576742,1586207,1075490,1431992,1788282,1015697,1488528,1592141,880602,1298813,1561937,1119044,1827641,1990899,1325437,2062576,2869843,1876635,3108707,3598395,2419383,4143556,6898752,1577654,2848729,3217584,2720868,4118219,6900455,1221277,1420710,1019196,1717448,1173269,1401776,979442,1679260,1102920,1216141,1425075,2090380,1831906,2037329,2227764,2729631,641965,390004,2079098,3632632
AVG terminal/day $,1293,1914,2042,1406,1847,2343,1333,1888,1969,1056,1918,2311,1293,2009,1873,1612,2668,3061,2371,1795,3099,2280,4007,1955,1782,1517,613,3528,4422,3895,1263,2061,2073,1406,1872,2338,1328,1946,2081,1151,1698,2042,1463,2389,2602,1733,2696,3751,2453,4064,4704,3163,5416,9018,2062,3724,4206,3557,5383,9020,1596,1857,1332,2245,1534,1832,1280,2195,1442,1590,1863,2733,2395,2663,2912,3568,839,510,2718,4749
MEDIAN terminal/day $,1185,1731,1438,1385,1516,1547,1252,1529,1546,885,1785,1637,1165,2063,-284,1575,2445,2268,2274,521,368,1800,3947,-365,1537,1360,481,3333,3710,2118,1135,1828,1588,1385,1549,1830,1300,1705,1761,1070,1484,1627,1380,2534,2583,1735,2452,3688,2285,3895,3291,2998,5078,10352,1790,3520,3002,3333,5265,9981,1465,1018,1124,1824,1373,1042,1038,1790,1565,-1246,1440,1559,2005,660,2606,-2132,565,617,2419,1498
RETURN / worst-10day-loss,,159.4,39.0,329.3,101.7,65.9,223.3,135.7,43.2,348.2,110.0,61.9,355.2,67.2,26.2,438.4,92.4,55.5,314.1,133.0,59.6,,160.5,64.0,1167.8,73.6,12.9,,645.2,67.1,,125.4,35.8,329.3,109.4,55.4,379.1,97.1,37.0,543.6,73.1,35.9,575.4,60.0,24.8,568.8,90.1,54.4,583.8,157.1,45.1,3341.4,535.5,26.0,1903.4,146.5,42.9,,178.9,24.4,96.2,55.7,52.6,52.5,112.0,52.5,63.4,53.0,34.3,22.5,105.6,50.5,72.9,34.7,60.7,45.2,35.1,9.9,58.0,60.6
WORST 5-day loss $ (~1wk),-2613,-10692,-26137,-5810,-12000,-24078,-5961,-12005,-25082,-2675,-12530,-25625,-6213,-21370,-36806,-6675,-22273,-38506,-16913,-8928,-36711,-874,-16736,-15695,-5147,-17831,-28101,-6080,-11067,-32612,-2000,-12752,-25519,-5810,-12000,-29040,-5278,-13523,-30532,-3990,-14551,-28342,-6535,-41494,-90024,-6850,-24437,-60252,-18481,-30536,-68765,-4794,-24555,-182966,-5075,-33225,-69467,-6795,-33093,-184718,-11973,-22894,-18205,-27447,-12518,-23480,-17855,-27462,-26459,-36536,-17837,-35999,-23111,-40723,-30801,-39584,-17405,-34508,-30806,-36803
  worst 5-day END date,11/2/2023,4/2/2024,1/29/2024,12/29/2023,12/29/2023,4/2/2024,8/20/2025,4/2/2024,4/2/2024,10/31/2023,10/28/2024,4/2/2024,4/28/2023,4/28/2023,9/24/2025,9/10/2025,7/18/2023,9/10/2025,9/10/2025,7/18/2023,9/10/2025,10/4/2023,6/11/2025,4/26/2024,4/28/2023,6/30/2025,9/12/2025,9/8/2025,5/3/2023,4/24/2023,9/11/2025,4/2/2024,1/26/2024,12/29/2023,12/29/2023,1/2/2025,12/29/2023,4/2/2024,4/2/2024,11/2/2023,12/29/2023,4/2/2024,4/28/2023,4/28/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,4/28/2023,5/16/2023,9/8/2025,4/3/2024,4/28/2023,9/10/2025,4/28/2023,9/8/2025,9/8/2025,4/3/2024,9/12/2025,4/2/2024,9/12/2025,5/13/2024,4/2/2024,4/2/2024,9/12/2025,5/13/2024,9/15/2025,9/12/2023,4/28/2023,9/10/2025,4/28/2023,9/10/2025,9/9/2025,9/17/2024,6/5/2024,3/22/2024,9/9/2025,4/9/2024
WORST 10-day loss $ (~2wk),888,-9185,-40066,-3266,-13899,-27209,-4568,-10648,-34877,-2320,-13336,-28551,-2786,-22881,-54610,-2813,-22086,-42164,-5776,-10325,-39790,1830,-19094,-23361,-1167,-15758,-36244,919,-5243,-44400,456,-12573,-44247,-3266,-13089,-32277,-2679,-15334,-42995,-1620,-17775,-43504,-1945,-30456,-80370,-2330,-22886,-52735,-3214,-19792,-79759,-724,-7738,-265391,-829,-19442,-75073,2029,-23021,-282268,-12693,-25515,-19360,-32744,-10478,-26707,-15454,-31707,-32129,-54083,-13497,-41411,-25138,-58640,-36685,-60405,-18265,-39484,-35840,-59932
  worst 10-day END date,1/23/2023,7/25/2023,1/30/2024,1/30/2024,7/25/2023,4/2/2024,8/26/2025,4/2/2024,1/30/2024,11/3/2023,11/1/2024,4/2/2024,4/3/2023,4/14/2023,12/16/2024,4/3/2023,1/29/2024,12/16/2024,1/20/2023,10/10/2025,7/7/2025,7/14/2023,6/18/2025,5/22/2025,7/24/2023,7/4/2025,4/25/2024,1/29/2024,5/5/2023,7/12/2023,1/20/2023,7/25/2023,1/30/2024,1/30/2024,7/25/2023,4/8/2024,8/26/2025,4/2/2024,4/9/2024,11/1/2024,7/25/2023,4/9/2024,4/3/2023,4/28/2023,2/1/2024,4/3/2023,1/29/2024,4/3/2024,1/16/2023,1/29/2024,7/19/2023,5/17/2023,12/26/2023,4/10/2024,1/16/2023,1/29/2024,7/19/2023,1/29/2024,1/17/2024,4/10/2024,1/30/2024,4/2/2024,9/15/2025,4/2/2024,4/2/2024,1/30/2024,9/15/2025,4/2/2024,7/11/2024,12/16/2024,4/3/2024,4/1/2024,2/5/2024,4/2/2024,4/10/2024,2/7/2024,7/11/2024,10/23/2025,4/10/2024,7/12/2023
MAX LOSING STREAK (days),4,5,10,5,4,6,6,6,10,5,4,7,4,5,8,4,5,5,5,9,7,3,3,8,3,5,8,3,3,7,3,4,10,5,4,8,6,6,5,4,5,7,4,5,5,4,5,5,5,6,5,3,3,7,2,6,6,3,3,7,6,6,9,8,6,7,6,8,5,13,7,7,7,13,6,9,8,6,6,10
  losing-streak $,-1120,-8257,-40066,-3594,-7553,-22093,-3586,-13876,-34877,-2675,-5900,-18216,-7295,-21370,-40285,-7745,-19643,-31545,-6918,-14948,-38494,-2000,-10836,-19245,-1542,-17831,-23804,-8051,-14063,-37926,-793,-7515,-44247,-3594,-7553,-30806,-4785,-8120,-30532,-3485,-7658,-36467,-8090,-16868,-53282,-7745,-24437,-45847,-7970,-16490,-68765,-6521,-16385,-236037,-1811,-17249,-40019,-8051,-17593,-241819,-8670,-16380,-21257,-32788,-10379,-29060,-18075,-21833,-12137,-64030,-12778,-16882,-17228,-78734,-24113,-55556,-20530,-35458,-24113,-53483
  losing-streak END date,4/3/2023,7/18/2023,1/30/2024,10/28/2024,5/17/2023,5/18/2023,10/28/2024,12/10/2024,1/30/2024,10/31/2023,5/17/2023,8/21/2025,4/27/2023,4/28/2023,10/9/2023,9/9/2025,9/10/2025,10/10/2024,4/28/2023,7/21/2023,11/20/2024,8/8/2023,1/5/2024,3/12/2024,3/6/2023,6/30/2025,8/25/2023,1/18/2024,5/3/2023,4/24/2023,3/31/2023,5/17/2023,1/30/2024,10/28/2024,5/17/2023,4/2/2024,10/28/2024,7/18/2023,4/2/2024,3/31/2023,5/17/2023,1/30/2024,4/27/2023,2/21/2023,2/21/2023,9/9/2025,9/10/2025,4/5/2024,1/24/2025,10/30/2024,4/28/2023,1/18/2024,10/12/2023,4/5/2024,1/9/2023,10/30/2024,1/24/2025,1/18/2024,12/15/2023,4/5/2024,1/24/2025,5/18/2023,9/15/2025,4/2/2024,12/10/2024,11/2/2023,9/15/2025,7/6/2023,3/29/2023,4/4/2024,12/29/2023,11/29/2023,3/26/2024,4/4/2024,11/28/2023,5/16/2023,9/15/2025,10/29/2024,11/28/2023,2/7/2024
MAX WINNING STREAK (days),28,16,13,25,19,13,14,14,11,16,17,15,28,22,7,44,23,16,31,10,13,31,16,8,58,16,10,44,21,11,55,24,13,25,19,13,23,18,11,27,15,12,28,21,10,31,23,22,26,27,19,83,25,12,59,27,19,44,16,12,18,12,15,15,15,10,15,10,19,7,13,16,18,16,12,9,12,11,12,14
  winning-streak $,53227,39917,72716,51133,61764,63675,37306,35175,69502,28063,44172,118241,45906,119034,27509,74261,86972,167323,141190,32106,115260,75983,115431,61644,144803,75955,38147,191800,86579,173633,81876,63684,73514,51133,62075,78249,51763,64235,69494,45122,41811,63020,50549,128993,95085,76415,86805,296069,122554,168026,276284,299664,209630,382740,173602,150008,257467,192525,131728,391562,36593,63416,52375,122572,54898,43022,53935,49048,107353,74557,84439,155591,69193,151707,120661,183670,52794,28736,93418,360472
WORST single day $,-2180,-6040,-8998,-4455,-5705,-8902,-4642,-6789,-8988,-995,-6550,-8975,-5990,-7000,-9000,-3370,-6995,-9000,-5987,-2000,-9000,-1000,-6995,-3996,-5800,-6960,-9000,-5865,-6999,-8996,-2180,-7250,-14028,-4455,-5705,-13465,-4455,-7165,-14889,-3630,-8385,-16855,-5920,-19430,-41015,-3370,-10740,-30150,-7390,-16360,-34685,-4493,-17783,-84211,-5110,-16750,-35385,-6271,-22150,-88345,-6899,-8978,-5095,-9000,-6899,-8958,-6215,-9000,-6990,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6995,-9000,-7000,-9000
  worst day DATE,12/26/2023,12/22/2023,9/20/2023,10/31/2023,12/22/2023,9/20/2023,10/31/2023,1/23/2024,9/28/2023,1/23/2024,1/23/2024,12/18/2024,4/27/2023,2/21/2023,5/22/2024,8/25/2025,12/12/2023,2/15/2024,8/8/2023,5/15/2023,6/12/2023,11/22/2023,12/13/2023,12/13/2023,4/27/2023,6/12/2023,12/12/2023,9/10/2024,12/13/2023,10/27/2023,12/26/2023,12/22/2023,9/28/2023,10/31/2023,12/22/2023,1/2/2025,10/31/2023,12/22/2023,1/23/2024,10/31/2023,1/2/2025,12/22/2023,4/27/2023,3/31/2023,9/4/2025,8/25/2025,8/8/2023,5/22/2024,8/8/2023,8/8/2023,9/4/2025,4/24/2023,10/17/2023,5/22/2024,6/12/2023,9/4/2025,9/4/2025,4/24/2023,10/17/2023,5/22/2024,10/31/2023,12/13/2023,9/2/2024,5/22/2023,10/31/2023,10/31/2023,1/22/2024,5/22/2023,2/21/2023,11/29/2023,1/29/2024,9/11/2023,6/12/2023,3/6/2023,1/6/2025,5/15/2023,6/5/2024,3/27/2023,1/6/2025,5/15/2023
BEST single day $,9482,11839,30587,8934,13884,34124,8445,14051,30314,9300,12515,34239,9063,20831,58687,9430,22781,41484,15035,18276,65828,12970,25874,49972,10135,15179,25590,16724,35895,42972,8843,12339,31288,8934,13884,33809,8663,15060,31335,8823,12175,28031,9128,20831,60157,9430,22781,56680,16755,30311,185606,15893,36280,105878,11108,30076,67733,16724,37495,108227,11259,32887,18455,31567,11923,34840,11464,26588,22908,48659,22909,43869,23353,56523,32860,75346,18745,25056,27560,196239
  best day DATE,10/18/2024,4/29/2024,2/1/2023,2/28/2023,5/1/2023,2/1/2023,6/12/2024,12/8/2025,2/1/2023,10/18/2024,5/1/2023,2/1/2023,3/28/2024,10/29/2025,3/18/2025,3/28/2024,10/29/2025,3/18/2025,1/29/2025,1/24/2023,1/29/2025,8/13/2025,10/16/2023,4/4/2025,5/13/2024,4/22/2025,2/7/2023,3/28/2024,10/29/2025,2/9/2023,10/18/2024,5/1/2023,2/1/2023,2/28/2023,5/1/2023,2/1/2023,4/29/2024,12/8/2025,2/1/2023,10/18/2024,4/29/2024,5/7/2025,7/5/2023,10/29/2025,11/14/2023,3/28/2024,10/29/2025,3/18/2025,4/22/2025,10/29/2025,4/9/2025,3/28/2024,6/30/2023,12/26/2023,3/28/2024,11/8/2024,1/29/2025,3/28/2024,6/30/2023,12/26/2023,2/16/2024,2/1/2023,3/22/2023,2/7/2023,8/27/2024,3/22/2023,4/29/2024,2/7/2023,1/24/2023,11/14/2023,8/15/2025,6/12/2024,6/12/2024,1/29/2025,4/4/2025,2/9/2023,1/24/2023,1/8/2025,8/15/2025,4/9/2025
opens/day,13.86,17.93,21.97,13.63,16.08,18.98,16.04,18.78,22.29,10.63,15.67,18.56,13.56,16.73,18.47,15.76,20.75,21.68,26.62,14.69,28.5,24.27,35.23,15.24,20.89,13.78,7.4,37,34.46,27.75,13.11,15.7,21.16,13.63,16.18,18.63,13.84,16.38,18.78,13.37,16.3,18.79,14.96,18.11,20.56,17.11,20.98,23.67,24.88,28.41,34.32,36.75,49.2,54.56,23.3,28.33,31.68,37.27,46.28,51.24,19.71,22.18,16.68,17.88,20.3,22.19,16.3,17.59,17.63,18.43,21.7,21.15,29.84,30.13,35.03,26.73,10.84,7.52,33.65,28.27
NEG days,123/765,209/765,312/765,178/765,209/765,302/765,206/765,234/765,320/765,204/765,193/765,295/765,119/765,255/765,391/765,103/765,213/765,313/765,179/765,354/765,372/765,134/765,198/765,407/765,106/765,245/765,339/765,109/765,163/765,341/765,111/765,188/765,307/765,178/765,208/765,311/765,192/765,224/765,291/765,165/765,246/765,305/765,118/765,230/765,330/765,113/765,212/765,297/765,172/765,211/765,302/765,72/765,183/765,315/765,94/765,216/765,308/765,107/765,193/765,319/765,237/765,328/765,265/765,297/765,248/765,327/765,273/765,297/765,310/765,405/765,277/765,332/765,272/765,360/765,295/765,432/765,325/765,342/765,297/765,364/765
