,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,987131,1522663,1413480,1018934,1429765,1552598,1035553,1448420,1324939,807935,1387873,1837145,1040146,1392152,1354940,1204318,1857653,2159404,1593880,1523336,2577748,2074223,3468523,1218570,1399075,1110216,408227,2448636,3385739,2786686,966283,1576742,1586207,1075490,1431992,1788282,1015697,1488528,1592141,880602,1298813,1561937,1119044,1827641,1990899,1325437,2062576,2869843,1876635,3108707,3598395,2419383,4143556,6898752,1577654,2848729,3217584,2720868,4118219,6900455,1175132,1422468,1011341,1678274,1155881,1386526,974997,1644658,1070949,1216141,1336364,1968003,1978642,1957145,2390921,2323259,641965,447632,2379380,3446507
AVG terminal/day $,1290,1990,1848,1332,1869,2030,1354,1893,1732,1056,1814,2401,1360,1820,1771,1574,2428,2823,2084,1991,3370,2711,4534,1593,1829,1451,534,3201,4426,3643,1263,2061,2073,1406,1872,2338,1328,1946,2081,1151,1698,2042,1463,2389,2602,1733,2696,3751,2453,4064,4704,3163,5416,9018,2062,3724,4206,3557,5383,9020,1536,1859,1322,2194,1511,1812,1275,2150,1400,1590,1747,2573,2586,2558,3125,3037,839,585,3110,4505
MEDIAN terminal/day $,1185,1675,1228,1267,1539,1282,1261,1575,1217,885,1495,1635,1301,1361,-1266,1590,2097,1119,1845,423,294,2370,3895,-82,1680,995,130,2935,3690,-41,1135,1828,1588,1385,1549,1830,1300,1705,1761,1070,1484,1627,1380,2534,2583,1735,2452,3688,2285,3895,3291,2998,5078,10352,1790,3520,3002,3333,5265,9981,1332,993,1049,1600,1287,977,1035,1359,431,-1246,1173,802,1998,442,1719,-1765,565,34,1784,-544
RETURN / worst-10day-loss,,165.8,49.0,608.5,102.9,58.8,267.2,140.9,48.4,348.2,236.2,64.3,2528.9,66.8,34.2,,160.0,57.8,508.5,147.5,58.0,,448.9,78.4,736.4,143.0,18.4,,1883.3,66.0,,125.4,35.8,329.3,109.4,55.4,379.1,97.1,37.0,543.6,73.1,35.9,575.4,60.0,24.8,568.8,90.1,54.4,583.8,157.1,45.1,3341.4,535.5,26.0,1903.4,146.5,42.9,,178.9,24.4,111.9,45.4,54.4,52.3,110.0,48.2,78.0,67.1,40.4,22.5,73.5,58.4,77.2,35.9,56.4,47.5,35.1,15.9,56.0,65.0
WORST 5-day loss $ (~1wk),-2613,-10692,-17417,-5705,-12000,-17628,-5078,-11270,-19189,-2675,-5287,-25625,-4340,-18645,-29959,-3610,-13753,-30999,-8312,-8928,-36711,-1033,-13084,-12763,-1922,-8139,-17351,-3022,-9883,-30771,-2000,-12752,-25519,-5810,-12000,-29040,-5278,-13523,-30532,-3990,-14551,-28342,-6535,-41494,-90024,-6850,-24437,-60252,-18481,-30536,-68765,-4794,-24555,-182966,-5075,-33225,-69467,-6795,-33093,-184718,-9910,-22714,-17085,-27764,-10053,-22711,-15930,-22482,-18933,-36536,-15599,-26294,-22256,-37627,-30801,-29473,-17405,-21071,-30806,-30102
  worst 5-day END date,11/2/2023,4/2/2024,4/2/2024,12/29/2023,12/29/2023,1/17/2023,12/9/2024,4/2/2024,1/17/2023,10/31/2023,7/17/2023,4/2/2024,5/18/2023,4/28/2023,10/10/2024,9/10/2025,7/18/2023,9/10/2025,9/10/2025,7/18/2023,9/10/2025,7/14/2023,1/29/2024,4/24/2023,4/28/2023,6/30/2025,5/23/2023,7/11/2023,4/20/2023,4/24/2023,9/11/2025,4/2/2024,1/26/2024,12/29/2023,12/29/2023,1/2/2025,12/29/2023,4/2/2024,4/2/2024,11/2/2023,12/29/2023,4/2/2024,4/28/2023,4/28/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,4/28/2023,5/16/2023,9/8/2025,4/3/2024,4/28/2023,9/10/2025,4/28/2023,9/8/2025,9/8/2025,4/3/2024,9/12/2025,4/2/2024,9/12/2025,4/2/2024,4/2/2024,4/2/2024,9/12/2025,4/2/2024,12/16/2024,9/12/2023,3/22/2024,9/10/2025,9/10/2025,9/10/2025,9/9/2025,2/7/2024,6/5/2024,3/22/2024,9/9/2025,9/11/2023
WORST 10-day loss $ (~2wk),888,-9185,-28867,-1675,-13899,-26418,-3876,-10281,-27353,-2320,-5876,-28551,-411,-20838,-39571,466,-11607,-37347,-3135,-10325,-44456,1521,-7727,-15536,-1900,-7763,-22225,5675,-1798,-42226,456,-12573,-44247,-3266,-13089,-32277,-2679,-15334,-42995,-1620,-17775,-43504,-1945,-30456,-80370,-2330,-22886,-52735,-3214,-19792,-79759,-724,-7738,-265391,-829,-19442,-75073,2029,-23021,-282268,-10500,-31310,-18608,-32064,-10505,-28748,-12494,-24514,-26508,-54083,-18170,-33703,-25634,-54543,-42400,-48929,-18265,-28195,-42495,-53027
  worst 10-day END date,1/23/2023,7/25/2023,4/2/2024,1/30/2024,7/25/2023,4/2/2024,1/30/2024,4/2/2024,4/2/2024,11/3/2023,1/30/2024,4/2/2024,2/21/2023,4/14/2023,12/16/2024,7/24/2023,4/14/2023,12/16/2024,5/19/2023,10/10/2025,10/2/2025,7/18/2023,2/5/2024,6/7/2023,5/18/2023,7/7/2025,7/7/2025,7/18/2023,4/26/2023,7/12/2023,1/20/2023,7/25/2023,1/30/2024,1/30/2024,7/25/2023,4/8/2024,8/26/2025,4/2/2024,4/9/2024,11/1/2024,7/25/2023,4/9/2024,4/3/2023,4/28/2023,2/1/2024,4/3/2023,1/29/2024,4/3/2024,1/16/2023,1/29/2024,7/19/2023,5/17/2023,12/26/2023,4/10/2024,1/16/2023,1/29/2024,7/19/2023,1/29/2024,1/17/2024,4/10/2024,1/30/2024,4/2/2024,9/15/2025,4/2/2024,10/1/2025,4/2/2024,9/12/2025,4/2/2024,12/16/2024,12/16/2024,4/1/2024,4/27/2023,2/5/2024,4/2/2024,4/10/2024,7/7/2023,7/11/2024,10/29/2025,4/10/2024,7/10/2023
MAX LOSING STREAK (days),4,5,10,5,4,6,6,4,10,5,5,7,4,6,10,4,5,6,5,9,7,2,5,8,4,5,8,3,3,8,3,4,10,5,4,8,6,6,5,4,5,7,4,5,5,4,5,5,5,6,5,3,3,7,2,6,6,3,3,7,6,7,8,8,6,6,6,8,6,13,8,7,7,13,9,14,8,7,9,10
  losing-streak $,-1120,-8257,-28452,-5169,-7553,-13597,-4204,-8747,-26650,-2675,-5287,-18216,-3325,-12983,-37458,-4505,-13160,-21717,-6056,-14948,-38494,-1326,-6666,-15642,-2705,-8139,-20857,-2751,-8191,-25739,-793,-7515,-44247,-3594,-7553,-30806,-4785,-8120,-30532,-3485,-7658,-36467,-8090,-16868,-53282,-7745,-24437,-45847,-7970,-16490,-68765,-6521,-16385,-236037,-1811,-17249,-40019,-8051,-17593,-241819,-10260,-22267,-21113,-32133,-8494,-7427,-5447,-14609,-17606,-64030,-21373,-17903,-25437,-62670,-43078,-61194,-20530,-25233,-43078,-53027
  losing-streak END date,4/3/2023,7/18/2023,1/30/2024,10/28/2024,5/17/2023,8/21/2025,10/28/2024,5/17/2023,1/30/2024,10/31/2023,7/17/2023,8/21/2025,4/27/2023,5/19/2023,10/11/2023,9/9/2025,9/10/2025,1/28/2025,4/28/2023,7/21/2023,11/20/2024,2/20/2023,6/4/2024,9/13/2024,4/27/2023,6/30/2025,9/12/2023,1/18/2024,4/10/2023,2/8/2024,3/31/2023,5/17/2023,1/30/2024,10/28/2024,5/17/2023,4/2/2024,10/28/2024,7/18/2023,4/2/2024,3/31/2023,5/17/2023,1/30/2024,4/27/2023,2/21/2023,2/21/2023,9/9/2025,9/10/2025,4/5/2024,1/24/2025,10/30/2024,4/28/2023,1/18/2024,10/12/2023,4/5/2024,1/9/2023,10/30/2024,1/24/2025,1/18/2024,12/15/2023,4/5/2024,9/15/2025,1/30/2024,9/15/2025,4/2/2024,12/10/2024,7/6/2023,1/20/2023,7/6/2023,5/19/2023,4/4/2024,3/27/2024,4/20/2023,1/31/2024,4/4/2024,4/9/2024,7/12/2023,9/15/2025,3/26/2024,4/9/2024,7/10/2023
MAX WINNING STREAK (days),28,16,13,19,19,15,22,17,10,16,16,15,20,14,7,37,24,19,27,10,13,35,16,11,34,13,7,31,20,11,55,24,13,25,19,13,23,18,11,27,15,12,28,21,10,31,23,22,26,27,19,83,25,12,59,27,19,44,16,12,16,10,15,20,13,8,15,15,9,7,16,13,18,16,11,8,12,8,11,13
  winning-streak $,52976,38832,70589,42058,62075,108996,57835,38442,43717,28063,47668,129866,32226,72325,84094,95982,117432,214492,109574,50922,303706,146325,152486,77735,72152,67573,23841,129196,136677,175373,81876,63684,73514,51133,62075,78249,51763,64235,69494,45122,41811,63020,50549,128993,95085,76415,86805,296069,122554,168026,276284,299664,209630,382740,173602,150008,257467,192525,131728,391562,42973,57916,54605,137594,42666,46977,59424,133637,57204,74557,61673,124573,126638,158376,134559,144439,52794,27411,133774,219265
WORST single day $,-2180,-6040,-5000,-2000,-5705,-6000,-2500,-4496,-5497,-995,-2500,-8975,-1980,-4495,-7000,-1495,-3995,-7000,-2000,-2000,-9000,-1495,-6495,-3000,-1490,-2495,-5780,-2495,-4498,-7500,-2180,-7250,-14028,-4455,-5705,-13465,-4455,-7165,-14889,-3630,-8385,-16855,-5920,-19430,-41015,-3370,-10740,-30150,-7390,-16360,-34685,-4493,-17783,-84211,-5110,-16750,-35385,-6271,-22150,-88345,-4000,-7498,-4460,-7980,-4477,-5981,-3475,-7490,-4500,-9000,-4500,-7000,-6500,-8500,-7000,-7000,-6995,-5500,-7000,-7500
  worst day DATE,12/26/2023,12/22/2023,3/3/2025,3/29/2023,12/22/2023,10/31/2023,10/31/2023,9/26/2023,10/23/2024,1/23/2024,11/20/2023,12/18/2024,2/21/2025,7/3/2024,10/6/2023,4/27/2023,4/13/2023,7/18/2023,6/12/2023,5/15/2023,6/12/2023,8/11/2025,12/13/2023,3/17/2023,8/2/2023,3/26/2024,5/18/2023,5/2/2023,12/13/2023,9/14/2023,12/26/2023,12/22/2023,9/28/2023,10/31/2023,12/22/2023,1/2/2025,10/31/2023,12/22/2023,1/23/2024,10/31/2023,1/2/2025,12/22/2023,4/27/2023,3/31/2023,9/4/2025,8/25/2025,8/8/2023,5/22/2024,8/8/2023,8/8/2023,9/4/2025,4/24/2023,10/17/2023,5/22/2024,6/12/2023,9/4/2025,9/4/2025,4/24/2023,10/17/2023,5/22/2024,9/26/2023,12/13/2023,9/8/2025,10/31/2023,4/25/2025,1/12/2024,12/26/2023,10/21/2025,9/23/2025,11/29/2023,5/22/2024,3/9/2023,3/19/2024,6/12/2023,1/6/2025,4/10/2023,6/5/2024,11/4/2025,1/6/2025,4/6/2023
BEST single day $,9482,12339,24812,8684,13884,28233,8870,14051,25273,9300,11715,34239,9128,18869,58411,9025,19854,51728,15035,18963,185606,12475,29938,43291,10135,16347,19222,15360,33040,63989,8843,12339,31288,8934,13884,33809,8663,15060,31335,8823,12175,28031,9128,20831,60157,9430,22781,56680,16755,30311,185606,15893,36280,105878,11108,30076,67733,16724,37495,108227,12947,32887,18190,31567,12363,32498,11600,29441,24713,48659,22909,41333,26062,56221,33496,68882,18745,22083,33642,197523
  best day DATE,10/18/2024,5/1/2023,12/4/2025,2/28/2023,5/1/2023,6/12/2024,1/2/2024,12/8/2025,12/4/2025,10/18/2024,5/1/2023,2/1/2023,7/5/2023,6/12/2024,3/18/2025,3/28/2024,3/18/2025,3/18/2025,1/29/2025,3/18/2025,4/9/2025,1/30/2024,8/28/2025,2/9/2023,5/13/2024,2/28/2025,8/1/2025,3/14/2024,10/29/2025,3/28/2025,10/18/2024,5/1/2023,2/1/2023,2/28/2023,5/1/2023,2/1/2023,4/29/2024,12/8/2025,2/1/2023,10/18/2024,4/29/2024,5/7/2025,7/5/2023,10/29/2025,11/14/2023,3/28/2024,10/29/2025,3/18/2025,4/22/2025,10/29/2025,4/9/2025,3/28/2024,6/30/2023,12/26/2023,3/28/2024,11/8/2024,1/29/2025,3/28/2024,6/30/2023,12/26/2023,2/16/2024,2/1/2023,3/22/2023,2/7/2023,2/16/2024,2/1/2023,1/4/2023,2/7/2023,1/24/2023,11/14/2023,8/15/2025,2/1/2023,1/24/2023,1/29/2025,4/4/2025,2/9/2023,1/24/2023,12/2/2025,2/21/2025,4/9/2025
opens/day,13.87,18.32,18.69,12.69,16.18,16.48,15.96,18.63,19.76,10.63,14.69,18.78,14.38,15.62,16.14,15.56,18.9,19.95,22.88,16.01,28.85,29.23,39.6,12.18,21.15,11.77,5.91,32.47,36.99,26.57,13.11,15.7,21.16,13.63,16.18,18.63,13.84,16.38,18.78,13.37,16.3,18.79,14.96,18.11,20.56,17.11,20.98,23.67,24.88,28.41,34.32,36.75,49.2,54.56,23.3,28.33,31.68,37.27,46.28,51.24,19.4,21.38,16.2,17.03,19.96,20.32,14.97,16.57,16.01,18.43,19.91,19.88,31.32,29.91,38.54,22.37,10.84,5.81,38.54,27.03
NEG days,123/765,209/765,302/765,191/765,209/765,300/765,212/765,236/765,312/765,204/765,210/765,296/765,155/765,302/765,410/765,145/765,246/765,353/765,212/765,358/765,373/765,97/765,229/765,392/765,137/765,284/765,374/765,122/765,191/765,384/765,111/765,188/765,307/765,178/765,208/765,311/765,192/765,224/765,291/765,165/765,246/765,305/765,118/765,230/765,330/765,113/765,212/765,297/765,172/765,211/765,302/765,72/765,183/765,315/765,94/765,216/765,308/765,107/765,193/765,319/765,256/765,330/765,265/765,298/765,254/765,322/765,268/765,309/765,364/765,405/765,301/765,344/765,290/765,369/765,325/765,440/765,325/765,379/765,326/765,393/765
WIN %,84%,73%,60%,75%,73%,61%,72%,69%,59%,73%,72%,61%,80%,60%,46%,81%,68%,54%,72%,53%,51%,87%,70%,49%,82%,63%,51%,84%,75%,50%,85%,75%,60%,77%,73%,59%,75%,71%,62%,78%,68%,60%,84%,70%,57%,85%,72%,61%,77%,72%,60%,90%,76%,59%,88%,72%,60%,86%,75%,58%,66%,57%,65%,61%,67%,58%,65%,59%,52%,47%,61%,55%,62%,52%,57%,42%,57%,50%,57%,48%
AVG WIN day $,1648,3367,4722,2041,3216,5190,2227,3470,4822,1626,2922,5954,1937,4969,9391,2139,4658,9016,3391,5062,12194,3221,7809,5126,2421,3157,3702,4033,6659,11778,1563,3304,6050,2117,3217,6467,2102,3468,5839,1701,3422,6175,1909,5416,12635,2219,4829,10671,3771,7033,14031,3621,8594,31363,2498,6693,13570,4417,8975,32142,3099,5397,2860,5760,3076,5049,2728,5738,5481,10207,4338,7917,6304,9924,8467,13282,3087,4035,8461,14181
