,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,969745,1473521,1412979,1002526,1392824,1542347,967164,1399981,1241781,779012,1373833,1791990,1013612,1363493,1327550,1181455,1881042,2131637,1559499,1486558,2539468,2018826,3421681,1179320,1338798,1046061,390394,2365566,3326075,2706540,956864,1528202,1602226,1050004,1398228,1763434,996947,1476550,1534925,869472,1262003,1509583,1093963,1815814,1995044,1316187,2061684,2834766,1827196,3043209,3481517,2353490,4075225,6752913,1566520,2815587,3307224,2665147,4041075,6768908,1179821,1440191,1012634,1664946,1137198,1361455,995823,1653097,1040456,1203960,1352160,1946609,1971299,1924160,2383708,2323535,651490,434480,2372316,3424143
AVG terminal/day $,1268,1926,1847,1310,1821,2016,1264,1830,1623,1018,1796,2342,1325,1782,1735,1544,2459,2786,2039,1943,3320,2639,4473,1542,1750,1367,510,3092,4348,3538,1251,1998,2094,1373,1828,2305,1303,1930,2006,1137,1650,1973,1430,2374,2608,1721,2695,3706,2388,3978,4551,3076,5327,8827,2048,3681,4323,3484,5282,8848,1542,1883,1324,2176,1487,1780,1302,2161,1360,1574,1768,2545,2577,2515,3116,3037,852,568,3101,4476
MEDIAN terminal/day $,1141,1619,1169,1245,1471,1337,1195,1484,796,846,1444,1549,1250,1360,-1224,1560,2200,713,1805,360,604,2225,3878,-38,1630,925,74,2764,3432,-64,1100,1769,1714,1360,1501,1805,1280,1651,1717,1045,1428,1577,1335,2499,2595,1745,2456,3575,2240,3793,3228,2895,4958,9489,1800,3460,2621,3320,5170,9893,1259,1093,1034,1585,1237,958,1059,1374,351,-1163,1176,806,1955,611,1910,-1771,630,25,1865,-477
RETURN / worst-10day-loss,1377.7,122.6,52.8,358.8,91.1,55.1,170.0,134.4,42.8,348.6,270.3,59.6,778.3,64.9,34.6,4314.2,146.7,57.1,309.8,150.6,50.7,,377.6,75.4,741.4,111.4,17.3,,1272.4,67.6,,107.0,35.3,421.9,96.5,53.8,328.1,93.7,35.4,915.0,69.0,34.6,723.8,59.3,24.3,445.2,88.3,54.1,404.9,167.4,44.4,1643.2,491.7,25.6,1783.6,151.9,42.6,,161.9,23.7,95.8,44.4,53.5,53.8,79.7,49.2,79.2,71.3,38.9,22.2,74.9,55.1,78.5,35.4,55.9,47.0,37.0,15.4,55.5,65.5
WORST 5-day loss $ (~1wk),-3076,-11434,-16227,-5896,-12085,-17728,-5775,-10359,-18673,-2725,-5608,-25672,-3527,-18730,-29765,-3140,-12827,-30146,-8939,-9503,-38069,-1843,-13684,-12838,-2029,-7782,-17381,-3132,-11193,-29032,-1980,-13257,-25515,-6051,-12085,-29140,-5760,-13823,-30988,-4000,-15076,-28397,-6625,-41756,-90214,-6410,-24106,-60467,-18696,-31563,-68961,-4419,-16404,-180665,-5320,-34267,-69786,-7665,-24424,-185193,-12065,-22588,-17085,-26099,-12925,-22114,-15930,-21804,-18934,-37247,-15599,-26294,-23712,-35748,-30801,-30653,-18071,-21071,-30806,-30102
  worst 5-day END date,11/2/2023,4/2/2024,12/29/2023,12/29/2023,12/29/2023,1/17/2023,1/23/2024,4/2/2024,1/17/2023,10/31/2023,12/29/2023,4/2/2024,5/18/2023,4/28/2023,7/19/2023,9/10/2025,7/18/2023,9/10/2025,9/10/2025,7/18/2023,9/24/2025,7/14/2023,1/29/2024,4/24/2023,4/28/2023,1/11/2024,5/23/2023,7/11/2023,4/20/2023,4/24/2023,9/11/2025,4/2/2024,1/26/2024,12/29/2023,12/29/2023,1/2/2025,4/3/2024,4/2/2024,4/2/2024,11/2/2023,12/29/2023,4/2/2024,4/28/2023,4/28/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,4/28/2023,5/16/2023,12/18/2023,4/3/2024,4/28/2023,9/10/2025,4/28/2023,9/8/2025,9/8/2025,4/3/2024,12/12/2023,4/2/2024,9/12/2025,4/2/2024,4/2/2024,7/25/2023,9/12/2025,5/13/2024,12/16/2024,9/12/2023,3/22/2024,9/10/2025,3/22/2024,9/10/2025,9/9/2025,10/16/2025,6/5/2024,3/22/2024,9/9/2025,9/11/2023
WORST 10-day loss $ (~2wk),-704,-12016,-26747,-2794,-15293,-28006,-5688,-10418,-29024,-2235,-5083,-30055,-1302,-21015,-38318,-274,-12822,-37327,-5035,-9869,-50055,572,-9061,-15641,-1806,-9388,-22525,3015,-2614,-40057,156,-14285,-45374,-2489,-14493,-32806,-3039,-15759,-43366,-950,-18287,-43667,-1511,-30614,-82134,-2957,-23361,-52427,-4512,-18180,-78387,-1432,-8287,-263728,-878,-18539,-77620,879,-24962,-285090,-12314,-32416,-18941,-30925,-14266,-27680,-12577,-23186,-26732,-54282,-18050,-35334,-25120,-54281,-42631,-49451,-17605,-28195,-42726,-52292
  worst 10-day END date,3/31/2023,7/25/2023,4/2/2024,8/26/2025,7/25/2023,4/2/2024,1/30/2024,4/2/2024,4/2/2024,11/3/2023,1/30/2024,4/2/2024,2/21/2023,4/14/2023,12/16/2024,7/24/2023,4/10/2023,12/16/2024,12/13/2024,7/24/2023,10/2/2025,7/14/2023,2/5/2024,6/7/2023,5/18/2023,4/14/2023,4/25/2024,7/18/2023,4/26/2023,7/12/2023,1/20/2023,7/25/2023,1/30/2024,8/20/2025,7/25/2023,4/8/2024,8/26/2025,4/2/2024,4/9/2024,1/30/2024,7/25/2023,4/9/2024,4/3/2023,4/28/2023,2/1/2024,7/24/2023,1/29/2024,4/3/2024,1/16/2023,1/29/2024,1/16/2023,5/17/2023,12/26/2023,4/10/2024,1/16/2023,7/24/2023,1/16/2023,1/29/2024,1/17/2024,4/10/2024,4/2/2024,4/2/2024,9/15/2025,4/2/2024,4/2/2024,4/2/2024,9/12/2025,4/2/2024,12/16/2024,12/16/2024,4/1/2024,4/27/2023,4/2/2024,4/2/2024,4/10/2024,7/7/2023,7/11/2024,10/29/2025,4/10/2024,7/10/2023
MAX LOSING STREAK (days),4,5,10,5,4,8,6,4,10,5,5,7,4,6,10,4,5,6,5,9,7,3,4,8,4,6,8,3,3,8,4,4,10,5,4,8,6,6,5,4,5,7,4,5,5,4,6,5,5,6,5,3,3,7,2,6,6,3,3,7,6,6,8,8,8,7,6,8,6,9,8,7,7,13,9,14,8,7,9,10
  losing-streak $,-1069,-8756,-26506,-5249,-7758,-23258,-5222,-8945,-26225,-2200,-2981,-18254,-3270,-14289,-35353,-4015,-12827,-19698,-5445,-15552,-37590,-1895,-15148,-15767,-2787,-8647,-20902,-2866,-10066,-25139,-836,-8725,-45374,-3674,-7758,-32359,-4865,-7738,-30988,-3570,-7539,-36642,-8155,-17042,-51314,-7285,-19546,-45510,-8135,-17821,-68961,-2004,-7878,-234139,-1625,-18968,-45198,-8151,-17918,-243597,-12706,-17176,-21219,-30993,-10360,-21897,-5683,-14609,-19749,-35048,-21373,-19572,-25408,-61686,-43309,-61716,-19613,-25233,-43309,-52292
  losing-streak END date,3/31/2023,7/18/2023,1/30/2024,10/28/2024,5/17/2023,3/28/2024,10/28/2024,5/17/2023,1/30/2024,7/25/2023,9/11/2025,8/21/2025,4/27/2023,5/19/2023,10/11/2023,9/9/2025,7/18/2023,1/28/2025,4/28/2023,7/21/2023,11/20/2024,10/31/2023,7/14/2025,9/13/2024,4/27/2023,4/10/2023,9/12/2023,1/18/2024,4/10/2023,2/8/2024,3/31/2023,5/17/2023,1/30/2024,10/28/2024,5/17/2023,4/2/2024,10/28/2024,7/18/2023,4/2/2024,3/31/2023,5/17/2023,1/30/2024,4/27/2023,2/21/2023,2/21/2023,9/9/2025,7/18/2023,4/5/2024,1/24/2025,10/30/2024,4/28/2023,11/1/2023,5/17/2023,4/5/2024,1/9/2023,10/30/2024,1/24/2025,1/18/2024,12/15/2023,4/5/2024,12/13/2023,5/18/2023,9/15/2025,4/2/2024,12/10/2024,9/16/2025,1/20/2023,7/6/2023,12/16/2024,12/5/2024,3/27/2024,4/20/2023,1/31/2024,4/4/2024,4/9/2024,7/12/2023,9/15/2025,3/26/2024,4/9/2024,7/10/2023
MAX WINNING STREAK (days),50,16,12,24,19,15,22,14,10,16,23,13,23,14,9,37,24,19,15,10,13,31,21,11,21,12,10,29,20,11,58,20,13,25,19,13,20,14,11,42,15,12,28,18,10,47,23,22,26,27,19,72,25,12,59,27,19,44,23,12,14,12,16,20,16,10,15,15,9,9,16,13,18,16,11,8,12,8,11,13
  winning-streak $,80136,48918,31426,43200,61703,103323,56115,63411,49865,29375,70468,62389,45517,70722,119456,93267,115811,198151,77346,48312,304106,123563,185299,80783,41178,36714,26768,104160,130898,171356,84581,62372,73233,49661,61703,79177,44591,63701,62257,74184,68499,63836,49434,117285,115288,106000,89125,295115,119693,163586,269312,249960,204007,378859,169634,147885,246460,186533,191809,390816,25047,64887,54585,135526,45985,45583,59283,133483,56726,112359,61367,124254,124821,151348,134672,141540,49858,17235,133887,218482
WORST single day $,-2100,-6095,-5000,-2000,-5720,-5995,-2497,-4495,-5496,-985,-2500,-8922,-1995,-4500,-7000,-1500,-4000,-7000,-2000,-2000,-9000,-1500,-6500,-3000,-1500,-2480,-5790,-2495,-4500,-7500,-2100,-7315,-14063,-4480,-5720,-13505,-4480,-7185,-14909,-3650,-8420,-16890,-5960,-19465,-41085,-3425,-10785,-30205,-7385,-16115,-34810,-5785,-17881,-84356,-4910,-16845,-35510,-7111,-20288,-88495,-4000,-7490,-4460,-7980,-4494,-5989,-3475,-7490,-4500,-9000,-4500,-7000,-6500,-8500,-7000,-7000,-6995,-5500,-7000,-7500
  worst day DATE,12/26/2023,12/22/2023,10/7/2024,12/22/2023,12/22/2023,10/31/2023,2/1/2024,11/14/2024,10/9/2023,7/13/2023,7/17/2023,9/20/2023,9/11/2024,1/23/2024,3/31/2023,7/13/2023,4/13/2023,6/12/2023,7/18/2023,2/3/2023,7/18/2023,7/21/2025,12/13/2023,11/13/2023,3/1/2024,2/15/2024,5/18/2023,8/8/2023,1/16/2023,11/9/2023,12/26/2023,12/22/2023,9/28/2023,10/31/2023,12/22/2023,1/2/2025,10/31/2023,12/22/2023,1/23/2024,10/31/2023,1/2/2025,12/22/2023,4/27/2023,3/31/2023,9/4/2025,8/25/2025,8/8/2023,5/22/2024,8/8/2023,3/31/2023,9/4/2025,2/8/2024,10/17/2023,5/22/2024,4/27/2023,9/4/2025,9/4/2025,4/24/2023,10/17/2023,5/22/2024,9/26/2023,12/13/2023,9/8/2025,10/31/2023,4/2/2024,7/20/2023,12/26/2023,10/21/2025,9/23/2025,11/29/2023,5/22/2024,3/9/2023,5/22/2024,6/3/2024,1/6/2025,4/10/2023,6/5/2024,11/4/2025,1/6/2025,4/6/2023
BEST single day $,9649,12174,24862,8574,13849,28223,8419,13809,25233,7151,11960,33954,9138,18859,58391,9015,20114,51708,15105,19060,183582,13699,29838,43338,10120,16296,19357,14826,31747,64264,8843,12208,33772,8638,13849,33779,8678,15000,31295,8813,12135,28330,9158,20995,60142,9485,22726,56660,16715,30286,183582,16185,36215,103044,11303,30006,181256,16709,37430,105393,19833,33289,11096,31567,12612,21204,11600,29441,24854,48466,22909,41333,25948,56221,33496,68989,18745,21879,33751,198442
  best day DATE,10/18/2024,5/1/2023,12/4/2025,2/28/2023,5/1/2023,6/12/2024,4/29/2024,12/8/2025,12/4/2025,10/18/2024,5/1/2023,2/1/2023,7/5/2023,6/12/2024,3/18/2025,3/28/2024,3/18/2025,3/18/2025,1/29/2025,3/18/2025,4/9/2025,5/19/2023,8/28/2025,2/9/2023,5/13/2024,7/5/2023,8/1/2025,3/14/2024,10/29/2025,3/28/2025,10/18/2024,4/29/2024,3/22/2023,2/28/2023,5/1/2023,2/1/2023,4/29/2024,12/8/2025,2/1/2023,10/18/2024,4/29/2024,5/7/2025,3/28/2024,10/29/2025,11/14/2023,3/28/2024,10/29/2025,3/18/2025,4/22/2025,10/29/2025,4/9/2025,3/28/2024,6/30/2023,12/26/2023,3/28/2024,11/8/2024,4/9/2025,3/28/2024,6/30/2023,12/26/2023,5/7/2025,2/1/2023,4/29/2024,2/7/2023,2/16/2024,9/4/2024,1/4/2023,2/7/2023,1/24/2023,11/14/2023,8/15/2025,2/1/2023,1/24/2023,1/29/2025,4/4/2025,2/9/2023,1/24/2023,12/2/2025,2/21/2025,4/9/2025
