variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-40,current/generic,2.25,9000,5000,765,1586217,2073,1420,-8998,30587,256,196,73,312,59,-40066,10,39.6,22.07,35.4,5382,-8999,0,290,1250
v0-40,2.125,2.13,8500,5950,765,1570035,2052,1518,-8495,30148,249,201,85,310,59,-40829,16,38.5,21.49,36.1,5337,-8500,0,379,845
v0-40,1.875,1.88,7500,5250,765,1571711,2055,1395,-7500,29824,250,200,74,307,60,-45086,17,34.9,21.3,35.9,5202,-7500,0,618,995
v0-40,1.625,1.63,6500,4550,765,1539577,2013,1217,-6498,28682,257,199,63,308,60,-43810,17,35.1,20.56,35.3,4974,-6500,0,1150,1068
v0-40,1.375,1.38,5500,3850,765,1410435,1844,1141,-5500,24812,252,192,45,309,59,-32654,14,43.2,19.48,35,4673,-5500,0,1828,1103
v0-40,0.875,0.88,3500,2450,765,1013651,1325,531,-3501,24339,264,168,0,333,56,-24933,21,40.7,14.43,33.5,3377,-3576,1,4753,861
v1-40,current/generic,2.25,9000,5000,765,1792677,2343,1547,-8902,34124,250,195,67,302,60,-36080,20,49.7,18.98,34.8,6096,-8994,0,510,1464
v1-40,2.125,2.13,8500,5950,765,1710915,2236,1495,-8377,28623,250,202,76,308,60,-35774,12,47.8,18.34,35.4,6029,-8495,0,671,989
v1-40,1.875,1.88,7500,5250,765,1731283,2263,1501,-7485,32659,244,191,65,303,60,-39019,12,44.4,17.98,35.3,5812,-7500,0,1010,1170
v1-40,1.625,1.63,6500,4550,765,1621916,2120,1390,-6488,28233,239,182,49,307,60,-33227,16,48.8,17.01,34.9,5496,-6500,0,1651,1203
v1-40,1.375,1.38,5500,3850,765,1472474,1925,1098,-5500,28233,245,194,32,313,59,-28106,12,52.4,15.82,34.9,5049,-5500,0,2456,1163
v1-40,0.875,0.88,3500,2450,765,1055667,1380,452,-3490,26119,275,185,0,346,55,-23633,19,44.7,10.65,33.9,3388,-3500,0,5714,742
v2-40,current/generic,2.25,9000,5000,765,1508323,1972,1509,-8988,30314,252,194,68,321,58,-41974,20,35.9,22.39,33.2,5676,-8999,0,294,1422
