variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-20,current/generic,3.5,7000,5000,765,1522663,1990,1675,-6040,12339,124,70,5,209,73,-12582,6,121,18.32,55.6,3347,-6840,0,7,31
v0-20,1.75,1.75,3500,2450,765,1464822,1915,1536,-3500,11580,133,73,0,222,71,-17610,8,83.2,17.67,55.3,3161,-3500,0,532,213
v0-20,1.25,1.25,2500,1750,765,1334811,1745,1509,-2500,11580,159,65,0,234,69,-13402,9,99.6,15.94,55.1,2824,-2616,0,1708,296
v0-20,0.75,0.75,1500,1050,765,925483,1210,720,-1500,10288,145,0,0,305,60,-7742,9,119.5,10.43,56.5,1885,-1500,0,5013,244
v0-40,current/generic,2.25,9000,5000,765,1586217,2073,1420,-8998,30587,256,196,73,312,59,-40066,10,39.6,22.07,35.4,5382,-8999,0,290,1250
v0-40,1.75,1.75,7000,4900,765,1516735,1983,1297,-6998,29937,260,200,72,312,59,-44228,16,34.3,20.93,35.7,5089,-6999,0,865,1005
v0-40,1.25,1.25,5000,3500,765,1413480,1848,1228,-5000,24812,244,182,0,302,60,-29040,11,48.7,18.69,34.8,4436,-5000,0,2301,1078
v0-40,0.75,0.75,3000,2100,765,908020,1187,381,-2999,24704,257,162,0,344,55,-23279,19,39,12.81,33.4,2917,-3116,0,5719,833
v1-20,current/generic,3.5,7000,5000,765,1429765,1869,1539,-5705,13884,131,74,3,209,73,-13899,10,102.9,16.18,65,3095,-6740,0,6,19
v1-20,1.75,1.75,3500,2450,765,1381871,1806,1475,-3495,13884,140,74,0,217,72,-15871,11,87.1,15.53,64.3,2913,-3500,0,607,172
v1-20,1.25,1.25,2500,1750,765,1225872,1602,1195,-2495,11805,147,70,0,249,67,-14910,10,82.2,13.98,63.9,2625,-2500,0,1772,207
v1-20,0.75,0.75,1500,1050,765,888585,1162,629,-1495,10762,132,0,0,303,60,-8078,11,110,9.76,63.9,1837,-1500,0,4795,187
v1-40,current/generic,2.25,9000,5000,765,1792677,2343,1547,-8902,34124,250,195,67,302,60,-36080,20,49.7,18.98,34.8,6096,-8994,0,510,1464
v1-40,1.75,1.75,7000,4900,765,1646037,2152,1393,-6982,28233,247,189,57,307,60,-39630,12,41.5,17.59,34.9,5697,-7000,0,1278,1181
v1-40,1.25,1.25,5000,3500,765,1490803,1949,1250,-4996,29754,239,182,0,303,60,-29933,12,49.8,14.82,34.6,4706,-5000,0,3119,1128
v1-40,0.75,0.75,3000,2100,765,987587,1291,289,-3000,30649,261,152,0,346,55,-18367,19,53.8,9.82,32.9,3013,-3000,0,6445,941
v2-20,current/generic,3.5,7000,5000,765,1444594,1888,1529,-6789,14051,148,87,7,234,69,-13876,6,104.1,18.78,50.4,3900,-6935,0,8,57
v2-20,1.75,1.75,3500,2450,765,1363800,1783,1537,-3499,13471,154,88,0,253,67,-17276,11,78.9,17.97,49.6,3666,-3500,0,701,386
v2-20,1.25,1.25,2500,1750,765,1282350,1676,1335,-2500,13090,161,79,0,260,66,-13240,11,96.9,15.92,49.4,3253,-2616,0,1967,497
v2-20,0.75,0.75,1500,1050,765,834770,1091,475,-1500,10680,171,0,0,322,58,-7220,7,115.6,10.58,49.5,2226,-1708,0,5191,433
v2-40,current/generic,2.25,9000,5000,765,1508323,1972,1509,-8988,30314,252,194,68,321,58,-41974,20,35.9,22.39,33.2,5676,-8999,0,294,1422
v2-40,1.75,1.75,7000,4900,765,1393675,1822,1112,-6999,29664,263,202,67,318,58,-48964,20,28.5,21.11,33.3,5393,-6999,0,893,1104
v2-40,1.25,1.25,5000,3500,765,1324392,1731,993,-4996,25273,252,186,0,313,59,-29741,10,44.5,18.91,32.3,4684,-5075,0,2363,1242
v2-40,0.75,0.75,3000,2100,765,768236,1004,218,-3000,18850,262,172,0,357,53,-24591,52,31.2,13.06,30.6,3119,-3695,0,5720,1014
v3-20,current/generic,3.5,7000,5000,765,1518684,1985,1769,-6550,12515,104,53,3,195,74,-16091,8,94.4,16.06,67.9,2519,-6765,0,2,10
v3-20,1.75,1.75,3500,2450,765,1493455,1952,1658,-3480,11811,106,54,0,196,74,-9653,7,154.7,15.77,68.6,2363,-3500,0,316,106
v3-20,1.25,1.25,2500,1750,765,1387873,1814,1495,-2500,11715,106,33,0,210,72,-6821,7,203.5,14.69,69,2135,-2500,0,1131,138
v3-20,0.75,0.75,1500,1050,765,1087510,1422,1071,-1500,10419,114,0,0,249,67,-5063,6,214.8,11.17,69.7,1590,-1500,0,3653,111
v3-40,current/generic,2.25,9000,5000,765,1837145,2401,1635,-8975,34239,251,196,61,296,61,-34448,12,53.3,18.78,36.3,5714,-8996,0,513,1337
v3-40,1.75,1.75,7000,4900,765,1700874,2223,1259,-6995,26649,240,186,54,311,59,-39737,12,42.8,17.4,36.6,5308,-7000,0,1277,1035
v3-40,1.25,1.25,5000,3500,765,1506193,1969,1195,-4989,31156,237,184,0,305,60,-31350,11,48,14.78,36.3,4419,-5000,0,3043,1040
v3-40,0.75,0.75,3000,2100,765,983793,1286,336,-3000,22524,267,155,0,353,54,-17997,20,54.7,9.75,34.6,2837,-3000,0,6399,900
v4-20,current/generic,3.5,7000,5000,765,1632587,2134,2093,-7000,20831,224,184,105,273,64,-45614,20,35.8,17.8,59.5,3346,-7000,0,1111,207
v4-20,1.75,1.75,3500,2450,765,1319854,1725,962,-3500,18004,279,226,0,329,57,-31629,29,41.7,14.12,59,2576,-3500,0,3652,264
v4-20,1.25,1.25,2500,1750,765,1030956,1348,408,-2500,16449,306,153,0,366,52,-24876,20,41.4,11.72,58.6,2145,-2678,0,5264,241
v4-20,0.75,0.75,1500,1050,765,712742,932,-445,-1500,14972,222,0,0,419,45,-18754,32,38,7.73,58.6,1450,-1500,0,7943,174
v4-40,current/generic,2.25,9000,5000,765,1432689,1873,-284,-9000,58687,369,346,254,391,49,-96323,29,14.9,18.47,35.7,4443,-9000,0,3594,1672
v4-40,1.75,1.75,7000,4900,765,1354940,1771,-1266,-7000,58411,387,360,232,410,46,-73594,29,18.4,16.14,36.2,3939,-7000,0,4718,1148
v4-40,1.25,1.25,5000,3500,765,1104882,1444,-1132,-5000,43333,388,349,1,432,43,-66350,29,16.7,13.29,35.3,3249,-5054,0,6348,972
v4-40,0.75,0.75,3000,2100,765,667118,872,-1148,-3000,42736,398,261,0,455,40,-30541,28,21.8,8.89,33.9,2204,-3023,0,8904,738
v5-20,current/generic,3.5,7000,5000,765,2040854,2668,2445,-6995,22781,166,120,37,213,72,-25551,27,79.9,20.75,69.6,3661,-6995,0,216,62
v5-20,1.75,1.75,3500,2450,765,1785106,2333,1990,-3500,19854,203,146,0,253,67,-13507,6,132.2,18.13,69.3,3118,-3500,0,2145,166
v5-20,1.25,1.25,2500,1750,765,1525686,1994,1439,-2500,19854,226,121,0,283,63,-10735,9,142.1,15.47,69.5,2631,-2500,0,3966,147
v5-20,0.75,0.75,1500,1050,765,1018641,1332,279,-1500,19854,186,0,0,367,52,-11218,22,90.8,10.55,68.8,1824,-1500,0,7316,120
v5-40,current/generic,2.25,9000,5000,765,2451744,3205,2065,-9000,51504,285,257,174,320,58,-48100,12,51,22.21,37,7180,-9000,0,2082,1572
v5-40,1.75,1.75,7000,4900,765,2159404,2823,1119,-7000,51728,320,283,161,353,54,-44867,12,48.1,19.95,37,6565,-7000,0,3297,1140
v5-40,1.25,1.25,5000,3500,765,1742518,2278,221,-5000,47005,328,288,2,376,51,-41093,15,42.4,16.44,36.7,5418,-5000,0,5387,1004
v5-40,0.75,0.75,3000,2100,765,1150773,1504,-467,-3000,34741,352,244,0,409,46,-36730,16,31.3,10.76,36.9,3448,-3000,0,8795,763
v6-20,generic,3.5,7000,5000,765,2856425,3734,3610,-7000,30311,184,148,69,223,71,-25778,5,110.8,29.21,61,5685,-7000,0,790,235
v6-20,1.75,1.75,3500,2450,765,2124088,2777,2095,-3500,22977,254,214,0,294,61,-19363,12,109.7,23.3,60.4,4438,-3690,0,3623,365
v6-20,1.25,1.25,2500,1750,765,1737450,2271,860,-2541,19744,292,186,0,334,56,-15154,8,114.6,19.22,60.6,3689,-2713,1,5452,310
v6-20,current,1,2000,1400,765,1523336,1991,423,-2000,18963,305,2,0,358,53,-14948,9,101.9,16.01,60.3,3095,-2378,0,6992,278
v6-20,0.75,0.75,1500,1050,765,1244750,1627,-110,-1500,19900,245,0,0,391,49,-12320,18,101,12.83,60.8,2522,-1913,0,8394,217
