variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-10,current/generic,6,6000,5000,765,989027,1293,1185,-2180,9482,23,2,0,123,84,-2830,2,349.5,13.86,83.1,1092,-2843,0,0,0
v0-10,4,4,4000,2800,765,989027,1293,1185,-2180,9482,23,2,0,123,84,-2830,2,349.5,13.86,83.1,1092,-2843,0,0,0
v0-10,3,3,3000,2100,765,987131,1290,1185,-2180,9482,23,2,0,123,84,-2830,2,348.8,13.87,83,1092,-2843,0,0,5
v0-10,2,2,2000,1400,765,981808,1283,1185,-1958,9482,24,0,0,127,83,-2830,2,346.9,13.81,83,1087,-2144,0,48,29
v0-10,1.5,1.5,1500,1050,765,951885,1244,1155,-1495,9482,27,0,0,133,82,-2770,4,343.6,13.52,83.4,1053,-1660,0,234,40
v0-10,1,1,1000,700,765,832920,1089,937,-998,9482,0,0,0,174,77,-2810,9,296.4,11.73,83.7,919,-1596,0,1537,58
v0-20,current/generic,3.5,7000,5000,765,1522663,1990,1675,-6040,12339,124,70,5,209,73,-12582,6,121,18.32,55.6,3347,-6840,0,7,31
v0-20,3,3,6000,4200,765,1537121,2009,1712,-5970,12339,121,71,8,207,73,-14247,6,107.9,18.33,55.5,3338,-5975,0,23,62
v0-20,2,2,4000,2800,765,1511826,1976,1628,-4000,11580,119,66,0,210,72,-15452,12,97.8,18.07,55.3,3248,-4000,0,261,182
v0-20,1.5,1.5,3000,2100,765,1438163,1880,1525,-2995,11580,131,80,0,214,72,-14810,9,97.1,16.92,55.3,3015,-3000,0,1024,245
v0-20,1,1,2000,1400,765,1138371,1488,1052,-1998,11580,172,0,0,265,65,-10237,9,111.2,13.41,54.7,2397,-2234,0,3296,308
v0-40,current/generic,2.25,9000,5000,765,1586217,2073,1420,-8998,30587,256,196,73,312,59,-40066,10,39.6,22.07,35.4,5382,-8999,0,290,1250
v0-40,2,2,8000,5600,765,1556090,2034,1402,-7980,29824,254,196,76,311,59,-43693,16,35.6,21.41,36,5285,-7999,0,484,916
v0-40,1.5,1.5,6000,4200,765,1542251,2016,1274,-5998,29469,254,197,43,307,60,-38890,17,39.7,20.06,35.2,4836,-5999,0,1449,1084
v0-40,1,1,4000,2800,765,1073827,1404,524,-3999,29737,266,190,0,338,56,-27019,20,39.7,15.93,33.3,3782,-4120,0,3952,945
v1-10,current/generic,6,6000,5000,765,1075490,1406,1385,-4455,8934,66,20,0,178,77,-6755,3,159.2,13.63,61.1,3543,-4680,0,0,0
v1-10,4,4,4000,2800,765,1075344,1406,1385,-3915,8934,67,20,0,180,76,-6755,3,159.2,13.63,61,3537,-3990,0,9,22
v1-10,3,3,3000,2100,765,1073768,1404,1385,-2935,8934,70,17,0,178,77,-6984,3,153.7,13.53,60.9,3497,-3000,0,106,57
v1-10,2,2,2000,1400,765,1018934,1332,1267,-2000,8684,62,2,0,191,75,-5705,5,178.6,12.69,61,3263,-2000,0,730,113
v1-10,1.5,1.5,1500,1050,765,924818,1209,1085,-1500,7761,84,0,0,208,73,-5145,5,179.8,11.35,61.1,2925,-1500,0,1718,102
v1-10,1,1,1000,700,765,700869,916,725,-1000,6443,3,0,0,260,66,-4604,8,152.2,8.42,60.1,2252,-1000,0,3920,56
v1-20,current/generic,3.5,7000,5000,765,1429765,1869,1539,-5705,13884,131,74,3,209,73,-13899,10,102.9,16.18,65,3095,-6740,0,6,19
v1-20,3,3,6000,4200,765,1434439,1875,1541,-5325,13884,134,73,2,213,72,-14037,10,102.2,16.18,64.9,3086,-5960,0,31,49
v1-20,2,2,4000,2800,765,1409276,1842,1505,-3973,13884,139,74,0,223,71,-15792,10,89.2,15.79,64.7,2973,-4000,0,370,135
v1-20,1.5,1.5,3000,2100,765,1319078,1724,1327,-2995,13407,133,75,0,222,71,-14136,11,93.3,14.81,64.1,2774,-3000,0,1148,208
v1-20,1,1,2000,1400,765,1054131,1378,824,-2000,11036,164,1,0,287,62,-11315,9,93.2,11.79,63.5,2236,-2000,0,3345,186
v1-40,current/generic,2.25,9000,5000,765,1792677,2343,1547,-8902,34124,250,195,67,302,60,-36080,20,49.7,18.98,34.8,6096,-8994,0,510,1464
v1-40,2,2,8000,5600,765,1745711,2282,1546,-7955,28623,244,194,70,303,60,-42736,20,40.8,18.14,35.5,5913,-7999,0,836,1070
v1-40,1.5,1.5,6000,4200,765,1552598,2030,1282,-6000,28233,239,193,40,300,61,-27630,12,56.2,16.48,34.9,5297,-6000,0,2003,1197
v1-40,1,1,4000,2800,765,1127769,1474,550,-4000,28705,286,209,0,353,54,-28893,37,39,12.09,33.8,3953,-4000,0,4749,863
v2-10,current/generic,6,6000,5000,765,1020030,1333,1252,-4642,8445,88,22,0,206,73,-6106,7,167,16.04,47.7,4057,-4719,0,0,1
v2-10,4,4,4000,2800,765,1026636,1342,1252,-3732,8445,87,23,0,206,73,-5961,5,172.2,16.09,47.5,4056,-3895,0,2,61
v2-10,3,3,3000,2100,765,1027773,1343,1245,-2860,8445,84,21,0,211,72,-5282,3,194.6,16.1,47.3,4030,-2995,0,50,171
v2-10,2,2,2000,1400,765,979935,1281,1133,-1996,8445,85,0,0,225,70,-4813,5,203.6,15.5,46.6,3841,-2165,0,557,325
v2-10,1.5,1.5,1500,1050,765,861023,1126,894,-1495,7839,105,0,0,250,67,-6119,5,140.7,13.43,46.9,3393,-1874,0,1739,314
v2-10,1,1,1000,700,765,643772,842,595,-1000,6580,6,0,0,291,62,-6121,12,105.2,9.52,46.4,2474,-1364,0,4217,277
v2-20,current/generic,3.5,7000,5000,765,1444594,1888,1529,-6789,14051,148,87,7,234,69,-13876,6,104.1,18.78,50.4,3900,-6935,0,8,57
v2-20,3,3,6000,4200,765,1449454,1895,1537,-5811,14051,147,81,9,232,70,-14331,11,101.1,18.8,50.3,3885,-5975,0,30,115
v2-20,2,2,4000,2800,765,1422982,1860,1575,-3983,13471,151,85,0,248,67,-13834,11,102.9,18.42,49.7,3754,-3999,0,400,327
v2-20,1.5,1.5,3000,2100,765,1299120,1698,1362,-2997,13471,152,94,0,254,67,-15968,12,81.4,16.99,49.4,3488,-3085,0,1303,434
v2-20,1,1,2000,1400,765,1047547,1369,878,-2000,10849,182,1,0,282,63,-11689,11,89.6,12.99,49,2713,-2083,0,3736,427
v2-40,current/generic,2.25,9000,5000,765,1508323,1972,1509,-8988,30314,252,194,68,321,58,-41974,20,35.9,22.39,33.2,5676,-8999,0,294,1422
v2-40,2,2,8000,5600,765,1497629,1958,1198,-7995,29551,259,200,67,324,58,-43370,20,34.5,21.56,33.9,5543,-8000,0,524,1016
v2-40,1.5,1.5,6000,4200,765,1434277,1875,1223,-5988,29196,258,194,44,312,59,-31153,10,46,20.31,33,5128,-5999,0,1447,1251
v2-40,1,1,4000,2800,765,1092123,1428,608,-3998,29464,261,187,0,330,57,-21444,10,50.9,15.9,31.1,3926,-3999,0,4084,1038
v3-10,generic,6,6000,5000,765,946676,1237,1115,-2880,9073,36,4,0,145,81,-3355,3,282.2,13.29,79.8,1536,-3785,0,0,0
v3-10,4,4,4000,2800,765,962363,1258,1130,-2880,9310,31,3,0,142,81,-2985,4,322.4,13.21,80.9,1502,-3785,0,0,0
v3-10,3,3,3000,2100,765,976364,1276,1190,-2345,9295,32,2,0,135,82,-2970,5,328.7,13.19,81.2,1498,-2920,0,2,1
v3-10,2,2,2000,1400,765,976047,1276,1175,-1990,9120,30,0,0,126,83,-3585,5,272.3,13.1,81.6,1469,-2000,0,64,3
v3-10,1.5,1.5,1500,1050,765,948098,1239,1135,-1485,9120,31,0,0,144,81,-2975,5,318.7,12.69,81.8,1418,-1500,0,389,4
v3-10,current/1,1,1000,700,765,807935,1056,885,-995,9300,0,0,0,204,73,-3505,9,230.5,10.63,81.9,1194,-1000,0,2003,2
v3-20,current/generic,3.5,7000,5000,765,1518684,1985,1769,-6550,12515,104,53,3,195,74,-16091,8,94.4,16.06,67.9,2519,-6765,0,2,10
v3-20,3,3,6000,4200,765,1538428,2011,1789,-5630,12515,102,54,2,191,75,-12942,8,118.9,16.07,68.4,2475,-5952,0,9,28
v3-20,2,2,4000,2800,765,1488483,1946,1665,-3995,13640,105,54,0,194,75,-9748,7,152.7,15.91,68.6,2388,-3995,0,196,90
v3-20,1.5,1.5,3000,2100,765,1420763,1857,1545,-2995,11940,107,46,0,199,74,-8738,7,162.6,15.33,68.7,2262,-3000,0,654,128
v3-20,1,1,2000,1400,765,1215532,1589,1266,-1995,10419,140,0,0,217,72,-6862,11,177.1,12.86,68.9,1861,-2000,0,2467,148
v3-40,current/generic,2.25,9000,5000,765,1837145,2401,1635,-8975,34239,251,196,61,296,61,-34448,12,53.3,18.78,36.3,5714,-8996,0,513,1337
v3-40,2,2,8000,5600,765,1812410,2369,1730,-7975,26649,240,194,61,295,61,-41083,12,44.1,18.05,36.9,5523,-8000,0,829,999
v3-40,1.5,1.5,6000,4200,765,1631713,2133,1516,-6000,31156,248,206,48,309,59,-36802,12,44.3,16.36,36.6,4938,-6000,0,1992,1105
v3-40,1,1,4000,2800,765,1130403,1478,614,-3997,22891,271,203,0,345,55,-25520,10,44.3,12.05,35.6,3684,-4000,0,4709,803
v4-10,current/generic,6,6000,5000,765,1122260,1467,1385,-5990,9128,46,9,1,124,84,-7295,4,153.8,15.25,86.4,1200,-5990,0,6,0
v4-10,4,4,4000,2800,765,1124232,1470,1385,-3960,9128,47,10,0,124,84,-5075,4,221.5,15.23,86.4,1191,-3970,0,32,6
v4-10,3,3,3000,2100,765,1111942,1454,1380,-2960,9128,49,16,0,128,83,-6170,4,180.2,15.07,86.5,1172,-2995,0,140,25
v4-10,2,2,2000,1400,765,1040146,1360,1301,-1980,9128,69,0,0,155,80,-4340,5,239.7,14.38,86.9,1097,-2000,0,637,30
v4-10,1.5,1.5,1500,1050,765,971215,1270,1195,-1500,9128,91,0,0,177,77,-4465,5,217.5,13.47,87.2,1018,-1580,0,1304,31
v4-10,1,1,1000,700,765,784021,1025,943,-1000,8895,1,0,0,231,69,-3495,6,224.3,10.96,87.6,835,-1172,0,3201,16
v4-20,current/generic,3.5,7000,5000,765,1632587,2134,2093,-7000,20831,224,184,105,273,64,-45614,20,35.8,17.8,59.5,3346,-7000,0,1111,207
v4-20,3,3,6000,4200,765,1516944,1983,1760,-5995,19537,246,201,106,288,62,-49358,20,30.7,17.12,59.5,3192,-6000,0,1575,227
v4-20,2,2,4000,2800,765,1355139,1771,1206,-4000,20242,268,225,0,320,58,-36650,20,37,14.8,59.3,2721,-4143,0,3151,245
v4-20,1.5,1.5,3000,2100,765,1180932,1544,505,-3000,18207,293,228,0,347,55,-28235,29,41.8,12.9,58.7,2353,-3224,0,4482,270
v4-20,1,1,2000,1400,765,832064,1088,-270,-2000,15756,323,0,0,400,48,-21865,29,38.1,9.47,57.9,1794,-2634,0,6743,220
v4-40,current/generic,2.25,9000,5000,765,1432689,1873,-284,-9000,58687,369,346,254,391,49,-96323,29,14.9,18.47,35.7,4443,-9000,0,3594,1672
v4-40,2,2,8000,5600,765,1387917,1814,-938,-8000,58687,382,358,249,405,47,-88460,29,15.7,16.91,36.4,4188,-8000,0,4195,1137
v4-40,1.5,1.5,6000,4200,765,1152436,1506,-1395,-6000,58411,401,360,156,426,44,-60716,26,19,14.65,35.5,3607,-6000,0,5562,1031
v4-40,1,1,4000,2800,765,822259,1075,-1263,-4000,44582,398,340,0,448,41,-47024,57,17.5,10.76,33.7,2667,-4000,0,7818,818
v5-10,current/generic,6,6000,5000,765,1325437,1733,1735,-3370,9430,45,21,0,113,85,-7745,4,171.1,17.11,84.1,1865,-5220,0,0,0
v5-10,4,4,4000,2800,765,1325261,1732,1735,-3605,9430,45,21,0,112,85,-7745,4,171.1,17.1,84.1,1858,-3870,0,10,1
v5-10,3,3,3000,2100,765,1316179,1720,1725,-2990,9430,49,24,0,113,85,-7585,4,173.5,17.03,84.2,1845,-2990,0,75,1
