,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,1067345,1628018,1849368,771615,1301151,1749338,712815,1286491,1742075,693812,1260638,1644350,1088397,1501562,1397351,1366912,2216060,2390464,1807471,2613633,2699033,2792160,3116516,2638914,956024,725400,599910,2729654,3050619,2592539,1067345,1609895,1939390,763130,1147225,1322320,691250,1075135,1202955,602790,948890,1064225,1130995,1717620,1824935,1368275,2254950,2563435,1821030,2747560,3372055,3045845,5150330,6853320,1637090,2566375,3101475,2992590,5054190,6766480,1256295,1892237,1029507,1698575,1020183,1692181,991151,1668810,1082628,1348202,1649560,2350207,2186392,2927186,2369210,2793503,670200,549501,2352298,2761292
AVG terminal/day $,1395,2128,2417,1009,1701,2287,932,1682,2277,907,1648,2149,1423,1963,1827,1787,2897,3125,2363,3417,3528,3650,4074,3450,1250,948,784,3568,3988,3389,1395,2104,2535,998,1500,1729,904,1405,1572,788,1240,1391,1478,2245,2386,1789,2948,3351,2380,3592,4408,3981,6732,8959,2140,3355,4054,3912,6607,8845,1642,2474,1346,2220,1334,2212,1296,2181,1415,1762,2156,3072,2858,3826,3097,3652,876,718,3075,3610
MEDIAN terminal/day $,1400,2017,1473,965,1485,1558,805,1425,1606,660,1291,1290,1725,1672,-1180,1845,2704,1580,2200,2318,1210,3705,2227,-222,1230,1335,1210,3690,2149,-362,1400,2100,2260,965,1265,1200,750,1265,1015,655,1035,895,1730,2575,2480,1845,2880,2775,2205,2915,3380,4190,6920,8550,2015,2845,2730,4190,6945,8490,1565,1648,1270,1589,1265,1518,944,1503,1090,-402,1645,1937,2290,1908,-374,-2015,890,1244,-295,-1962
RETURN / worst-10day-loss,275.4,117.5,91.6,137.2,60.2,66.6,101.8,47.0,57.4,60.6,47.3,55.5,63.2,49.0,25.1,156.6,147.2,55.3,168.1,168.0,54.1,328.7,119.3,61.5,98.0,23.0,14.6,311.8,112.6,60.4,275.4,72.9,57.1,120.8,51.8,23.8,85.7,46.5,20.4,69.8,35.5,19.2,91.4,40.4,19.7,156.7,66.8,28.1,202.0,102.5,33.3,314.7,75.0,18.3,151.0,77.6,32.8,319.7,72.8,18.5,61.2,61.3,60.0,57.9,51.8,45.9,55.0,47.9,25.5,23.7,73.9,50.1,80.6,70.4,44.8,48.8,27.5,11.3,44.5,47.5
WORST 5-day loss $ (~1wk),-5965,-13984,-20428,-6515,-19113,-19293,-7175,-21040,-23743,-9915,-21138,-24139,-13780,-30395,-38274,-17235,-26259,-36657,-18355,-28933,-40575,-16722,-22764,-35453,-11625,-25130,-31183,-16722,-22969,-33724,-5965,-14520,-32390,-6515,-16270,-33515,-8005,-17665,-38190,-8895,-19430,-38190,-16250,-39360,-80130,-17235,-31455,-60755,-19460,-34490,-67965,-17525,-68740,-223415,-18920,-35860,-71275,-17525,-70445,-209645,-14070,-35218,-12815,-27635,-13895,-33631,-13739,-33263,-30267,-38413,-23284,-36779,-26468,-41280,-32895,-39207,-23205,-32457,-32895,-39207
  worst 5-day END date,12/29/2023,12/29/2023,11/26/2024,10/25/2024,10/28/2024,4/2/2024,10/25/2024,10/25/2024,4/2/2024,10/25/2024,10/25/2024,4/2/2024,10/29/2024,9/24/2025,9/12/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,3/22/2024,9/17/2024,2/28/2023,7/3/2024,7/5/2024,4/25/2024,3/22/2024,9/17/2024,9/17/2024,12/29/2023,12/29/2023,1/2/2025,10/25/2024,10/25/2024,9/28/2023,10/25/2024,10/25/2024,9/28/2023,10/25/2024,10/25/2024,9/28/2023,9/10/2025,4/28/2023,4/28/2023,9/10/2025,9/10/2025,3/22/2024,9/10/2025,9/10/2025,1/29/2024,1/17/2024,4/5/2024,4/3/2024,9/10/2025,9/10/2025,1/29/2024,1/17/2024,4/5/2024,4/3/2024,7/5/2023,5/13/2024,11/28/2024,5/13/2024,1/22/2025,4/2/2024,4/11/2024,4/2/2024,9/24/2025,9/24/2025,9/10/2025,9/10/2025,7/23/2025,9/10/2025,3/21/2024,9/11/2023,7/5/2024,3/22/2024,3/21/2024,9/11/2023
WORST 10-day loss $ (~2wk),-3875,-13852,-20196,-5625,-21608,-26249,-7005,-27400,-30340,-11445,-26655,-29619,-17232,-30617,-55649,-8730,-15052,-43195,-10751,-15558,-49914,-8496,-26113,-42921,-9760,-31563,-41057,-8756,-27095,-42921,-3875,-22070,-33940,-6315,-22140,-55535,-8065,-23120,-59090,-8635,-26755,-55285,-12375,-42525,-92565,-8730,-33770,-91335,-9015,-26815,-101405,-9680,-68665,-374065,-10845,-33055,-94415,-9360,-69455,-366455,-20527,-30886,-17163,-29361,-19710,-36879,-18013,-34844,-42477,-56767,-22322,-46936,-27130,-41570,-52840,-57277,-24340,-48485,-52840,-58077
  worst 10-day END date,8/22/2025,7/25/2023,10/29/2024,11/1/2024,11/1/2024,3/28/2024,11/1/2024,11/1/2024,4/2/2024,11/1/2024,11/1/2024,4/2/2024,12/16/2024,7/24/2023,12/16/2024,7/19/2023,4/3/2024,1/29/2024,7/19/2023,1/13/2023,7/19/2023,9/19/2023,7/6/2023,5/21/2025,7/24/2023,7/11/2024,7/7/2025,9/19/2023,7/6/2023,5/21/2025,8/22/2025,7/24/2023,4/8/2024,11/1/2024,11/1/2024,4/9/2024,11/1/2024,11/1/2024,4/9/2024,11/1/2024,11/1/2024,4/9/2024,4/6/2023,7/11/2024,7/11/2024,7/19/2023,4/3/2024,4/3/2024,7/19/2023,4/3/2024,4/3/2024,9/19/2023,4/3/2024,4/10/2024,7/19/2023,4/3/2024,4/4/2024,9/19/2023,4/3/2024,4/10/2024,7/11/2023,5/16/2024,7/11/2023,4/2/2024,4/10/2024,4/2/2024,4/10/2024,4/2/2024,5/27/2024,12/16/2024,4/1/2024,4/26/2023,7/23/2025,4/1/2024,7/12/2023,2/7/2024,9/11/2025,12/20/2024,7/12/2023,2/7/2024
MAX LOSING STREAK (days),6,8,6,6,6,6,6,6,6,6,6,8,5,7,8,5,5,7,5,5,9,5,8,6,4,7,6,5,8,6,6,8,7,6,9,9,6,9,9,5,9,9,5,6,8,5,5,5,5,5,7,3,6,7,5,6,5,4,6,7,7,9,9,8,9,8,9,8,7,7,7,7,7,7,11,12,6,6,11,12
  losing-streak $,-5410,-12657,-13968,-6960,-21268,-12723,-7585,-17942,-17458,-10295,-11584,-28883,-13480,-32646,-48601,-17235,-12163,-29987,-18355,-17290,-48274,-16722,-24247,-23350,-2925,-21045,-30412,-16722,-24807,-23350,-5410,-12560,-28770,-6785,-22560,-51625,-8255,-23305,-55100,-5985,-26940,-54250,-16250,-41220,-69200,-17235,-31455,-52170,-19460,-15005,-75880,-9880,-72370,-289845,-18920,-17670,-71275,-14685,-74075,-282235,-22140,-16262,-18424,-14187,-15725,-14342,-17632,-16211,-34472,-48229,-18163,-31010,-22663,-24053,-57285,-64350,-17371,-33139,-57285,-65150
